Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,COUNT
TOP2A,0,0,0,0,0,0,0,0,0,0,0
POLA1,1,0,0,0,0,0,0,0,0,0,1
MDM4,0,0,0,0,0,0,0,0,0,0,0
TUBB8,0,0,0,0,0,0,0,0,0,0,0
TUBB2B,1,0,0,0,0,0,0,0,0,0,1
TUBB4B,0,0,0,0,0,0,0,0,1,0,1
TUBA1A,1,0,0,0,0,0,0,0,0,0,1
TBL1XR1,0,0,0,0,0,0,0,0,0,0,0
TUBA1C,0,0,0,0,0,0,0,0,0,0,0
TUBA4A,0,0,0,0,0,0,0,0,0,0,0
RRM1,1,0,0,0,0,0,0,0,0,0,1
VEGFA,1,0,1,0,0,0,0,0,0,0,2
PARP3,0,0,0,0,0,0,0,0,0,0,0
NOTCH2,0,0,1,0,0,0,1,0,0,0,2
TUBA3E,0,1,0,0,0,0,0,0,0,1,2
FGFR3,0,0,0,0,0,0,0,0,0,0,0
ERBB3,0,1,1,0,0,1,0,0,0,0,3
TUBB6,0,1,0,0,0,0,0,0,0,0,1
LPAR3,0,0,0,0,0,0,0,0,0,0,0
POLD1,0,1,0,0,0,0,0,0,0,0,1
TUBB2A,0,0,0,0,0,0,0,0,0,0,0
RRM2B,0,0,0,0,0,0,0,0,0,0,0
TUBB,0,0,0,0,0,0,0,0,0,0,0
POLE,1,0,0,0,0,0,1,1,0,0,3
TUBB3,0,0,0,0,0,0,0,0,0,0,0
DROSHA,0,0,1,0,0,0,0,0,0,0,1
CDKN1A,0,0,0,1,0,0,0,0,0,1,2
RRM2,0,0,1,0,0,0,0,0,0,0,1
BCL2,0,0,0,0,0,0,0,0,0,0,0
PARP1,0,0,0,0,0,1,0,0,0,0,1
TSC1,0,1,0,0,1,0,0,0,0,0,2
LPAR2,0,0,0,0,0,0,0,0,0,0,0
TERT,0,0,0,0,0,0,0,0,0,0,0
TUBB1,0,0,0,0,0,0,0,0,0,0,0
NOTCH1,0,0,0,0,1,0,0,0,1,0,2
PARP2,0,0,0,0,0,0,0,0,0,0,0
TUBA1B,0,0,0,0,0,0,0,0,0,0,0
NR1I2,0,0,0,0,0,1,0,0,0,0,1
ZNF479,0,0,0,0,0,0,0,0,0,0,0
TOP1MT,0,0,0,0,0,0,0,0,0,0,0
