Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,MAX,AVG,MED,MIN
A1BG,677.2657,563.9018,109.2433,199.7019,431.2941,93.287,44.5328,92.2653,39.4132,677.2657,250.1005667,109.2433,39.4132
AOC1,85.0676,398.5788,50.9699,112.767,96.1457,4.3696,29.0223,30.5608,51.8839,398.5788,95.48506667,51.8839,4.3696
ACLY,4204.1622,3498.062,4065.2791,4188.773,2201.991,5513.0325,2251.964,2469.7543,2146.0778,5513.0325,3393.232878,3498.062,2146.0778
ACTC1,599.7266,27.7778,78.3363,12.4193,2.5525,6.3117,0.2738,5.041,0.6177,599.7266,81.45074444,6.3117,0.2738
ACTN1,4421.0846,6134.3669,23307.2811,16157.9732,8887.0927,10346.8282,6612.9709,9703.5287,7408.8944,23307.2811,10331.11341,8887.0927,4421.0846
ACY1,1594.4098,947.0284,734.1038,928.465,519.8673,266.5482,537.6732,441.0838,280.1112,1594.4098,694.3656333,537.6732,266.5482
PARP1,7633.6017,3267.4419,5264.2697,4635.8669,5373.9471,6983.66,5578.5734,3120.0378,5382.9524,7633.6017,5248.927878,5373.9471,3120.0378
AHSG,0,4.522,1.0262,3.4774,0,0.971,0,0,0,4.522,1.110733333,0,0
AKT1,23395.4124,6806.8475,3257.2861,5028.3159,7076.4911,6043.7013,1685.4821,2886.8935,3146.0778,23395.4124,6591.834189,5028.3159,1685.4821
AKT2,2337.5361,2631.137,2015.1935,1834.0785,3195.7798,2880.5655,1198.9484,2258.3491,1943.1748,3195.7798,2254.973633,2258.3491,1198.9484
ALDH1A3,1134.3582,917.6163,481.1048,456.001,27.5674,846.1473,3443.6896,1730.9011,2211.6553,3443.6896,1249.893444,917.6163,27.5674
AKR1B1,703.6306,1863.6951,377.9984,700.4471,1984.1743,2310.0844,816.1829,952.426,840.0247,2310.0844,1172.073722,840.0247,377.9984
ALX3,27.3432,3.876,18.1302,9.4386,24.6746,458.8125,20.8084,50.4096,45.0896,458.8125,73.17585556,24.6746,3.876
ANK2,125.7785,518.7339,80.7309,60.1093,619.4163,575.8218,449.2976,1254.2533,51.2662,1254.2533,415.0453111,449.2976,51.2662
ANXA6,4645.9061,2494.832,4522.6401,3639.3443,7289.2028,3863.7351,3123.4535,6346.2508,1496.6028,7289.2028,4157.996389,3863.7351,1496.6028
APBA2,487.9234,448.3204,175.4871,435.6682,20.4203,569.5101,105.9587,61.1216,225.7566,569.5101,281.1296,225.7566,20.4203
APCS,0,0,0,0,0,0,0,0,0,0,0,0,0
APP,6749.5063,8344.3152,59166.5049,26279.1853,27179.4435,10148.7378,68297.8917,35890.3592,20173.5639,68297.8917,29136.61198,26279.1853,6749.5063
ARG1,0.6076,0,0,0.9935,0,0,0.5476,0.3151,0,0.9935,0.273755556,0,0
ARHGAP1,6085.979,3890.8269,2820.1078,3569.7963,3273.2068,2298.432,5513.9577,3247.0069,2093.5763,6085.979,3643.654411,3273.2068,2093.5763
ARL1,3534.5587,1605.9432,3365.7255,1510.6806,1260.9546,1505.0991,3306.8961,2148.7083,1461.0871,3534.5587,2188.850356,1605.9432,1260.9546
ARRB1,284.3688,140.1809,174.4608,214.6051,675.5722,427.7395,889.56,1176.7486,479.617,1176.7486,495.8725444,427.7395,140.1809
ARRB2,1432.7814,729.9742,504.5681,951.3164,2021.6115,731.1869,408.5022,710.1449,1019.1476,2021.6115,945.4703556,731.1869,408.5022
ASCL2,853.1065,447.6744,101.2557,110.2832,61.261,64.5736,9.309,19.8488,72.5757,853.1065,193.3208778,72.5757,9.309
SERPINC1,3.0381,1.938,0,1.4903,2.5525,0.4855,1.0952,1.2602,0.9265,3.0381,1.4207,1.2602,0
B2M,53608.3852,29487.0801,28341.673,99818.1818,128969.6248,13963.4358,50206.6126,58813.7996,63423.7461,128969.6248,58514.72656,53608.3852,13963.4358
BARD1,61.3702,2.584,179.592,45.2062,12.7627,209.7428,193.5731,89.1619,184.3731,209.7428,108.7073333,89.1619,2.584
CCND1,1793.4559,1961.77,7653.0145,5152.5683,3948.6089,3400.2811,4981.7002,6408.6957,10341.3527,10341.3527,5071.271922,4981.7002,1793.4559
BCL2,196.8707,92.3773,150.5152,209.6374,326.7251,578.2494,466.5467,2071.2035,208.7708,2071.2035,477.8773444,209.6374,92.3773
BFSP1,68.0541,100.1292,88.2566,107.3025,178.6778,114.5817,39.7003,54.1903,43.5454,178.6778,88.27087778,88.2566,39.7003
BRCA2,149.4759,56.8475,451.5456,110.2832,39.1389,472.8924,289.6751,92.3125,360.7165,472.8924,224.7652889,149.4759,39.1389
C1QB,6765.3046,2450.9044,1123.7329,10178.3408,12939.675,2112.965,1744.8956,2074.9842,6688.6967,12939.675,5119.944356,2450.9044,1123.7329
C2,1759.9878,1411.5891,712.7066,1581.8331,3017.0084,764.5564,945.5511,909.6818,1536.433,3017.0084,1404.371922,1411.5891,712.7066
CAPN5,164.6666,238.3721,297.2676,160.9538,535.1825,421.4278,375.6468,319.7858,91.7233,535.1825,289.4473667,297.2676,91.7233
LDLRAD4,348.1695,285.5297,2101.0556,282.1659,593.8909,1645.4132,2179.4083,1659.7353,640.21,2179.4083,1081.730933,640.21,282.1659
CA2,98.4354,183.4625,344.8167,778.9369,193.1422,247.6131,106.7801,594.833,2366.2755,2366.2755,546.0328222,247.6131,98.4354
CA11,78.9913,658.2687,144.3578,112.2702,292.6912,159.2492,32.8554,221.172,173.5639,658.2687,208.1577444,159.2492,32.8554
CACNB3,1598.0556,916.6667,507.6468,241.9275,299.498,441.8194,223.4167,361.0586,344.3484,1598.0556,548.2708556,361.0586,223.4167
CACNG1,0.6076,0,6.1574,1.9871,0,5.8262,0,3.4657,0.3088,6.1574,2.0392,0.6076,0
CASP8,756.494,487.0801,292.1363,704.4213,680.6773,138.8575,677.3689,598.9288,1057.4429,1057.4429,599.2674556,677.3689,138.8575
CCNE1,393.1338,431.5245,149.8311,420.765,39.9898,635.0547,165.646,29.9307,117.3564,635.0547,264.8035556,165.646,29.9307
CCNF,1235.9107,586.5633,418.0218,703.4277,313.1115,697.2008,314.3167,181.1594,1257.2576,1257.2576,634.1077222,586.5633,181.1594
CD9,6479.7205,5105.2972,4824.3547,8695.4794,3080.0647,4902.739,4016.5728,3900.4411,10024.3978,10024.3978,5669.896356,4902.739,3080.0647
CD14,2343.0047,2059.4315,805.2564,4858.4203,16111.6311,1642.9856,1289.3007,1347.511,5976.8376,16111.6311,4048.264322,2059.4315,805.2564
TNFRSF8,78.9913,67.1835,8.552,79.4834,16.1661,32.044,52.5686,88.5318,39.2217,88.5318,51.41582222,52.5686,8.552
CD40LG,27.9508,6.4599,19.4986,32.7869,10.2102,5.8262,49.5569,82.2306,41.0747,82.2306,30.62164444,27.9508,5.8262
CD53,1429.1357,318.4755,503.1997,1994.0387,1658.3,467.0662,1330.9175,820.4159,1924.0272,1994.0387,1160.6196,1330.9175,318.4755
CDC34,1999.0886,1550.3876,353.3687,1433.1843,1111.2056,312.1867,193.5731,482.6717,582.7671,1999.0886,890.9370444,582.7671,193.5731
CDH1,18799.3316,11481.2661,8001.252,3996.0258,8.5085,2730.5411,4279.9636,7830.4978,10289.9938,18799.3316,7490.820033,7830.4978,8.5085
CDK4,2754.3673,3412.1447,2080.1887,5060.6061,1812.3032,3195.1798,2484.6897,1692.5016,1970.9697,5060.6061,2718.105644,2484.6897,1692.5016
CDK6,291.0527,769.3798,4945.109,2330.8495,909.555,3806.9298,3950.0406,1332.7032,1716.1828,4945.109,2227.978044,1716.1828,291.0527
CDKN1B,1280.2674,568.4755,794.3098,1162.9409,519.0164,1849.8154,976.9006,1822.9364,1287.832,1849.8154,1140.277156,1162.9409,519.0164
CDKN2D,210.8461,171.8346,172.0663,404.3716,373.5217,162.1623,127.8623,106.8053,579.9876,579.9876,256.6064222,172.0663,106.8053
CEBPD,504.3293,4808.1395,633.8743,1785.8917,940.1855,1108.9182,292.9607,1234.4045,1662.7548,4808.1395,1441.273167,1108.9182,292.9607
CEBPE,0.6076,2.584,0,4.9677,5.1051,1.9421,0.8214,0.3151,1.2353,5.1051,1.953144444,1.2353,0
CHRM1,86.2828,0.646,455.6506,0.9935,0,680.6932,32.5816,99.2439,0.3088,680.6932,150.7111556,32.5816,0
CHRM2,0,0,0,0,0,3.3986,0.5476,0,0,3.3986,0.438466667,0,0
CHRNA1,22.4822,0,14.7094,3.4774,109.7592,7.7683,15.8801,3.1506,2.1618,109.7592,19.93211111,7.7683,0
CHRNA3,3.0381,147.9328,8.8941,10.929,3.4034,45.153,5.4759,4.4108,63.3107,147.9328,32.50531111,8.8941,3.0381
CKS2,995.2909,1314.5995,1011.1886,1240.4372,907.8533,543.2922,305.2814,113.1065,700.7412,1314.5995,792.4212,907.8533,113.1065
CLCA1,0.6076,0,0,0,0,0,0,0,0,0.6076,0.067511111,0,0
CLCNKA,20.6593,14.8579,8.8941,0.9935,6.8068,0.971,1.6428,11.0271,0.3088,20.6593,7.351255556,6.8068,0.3088
CCR5,359.7144,46.5116,208.3267,374.0686,151.4507,114.5817,423.0133,396.0302,602.8413,602.8413,297.3931667,359.7144,46.5116
LTB4R,441.2274,458.1589,121.5616,227.4069,253.5012,190.7932,118.3972,252.9679,707.4892,707.4892,307.9448333,252.9679,118.3972
CNTN1,6.0763,4.522,198.4064,671.1376,3.4034,240.8159,484.6172,430.3718,241.1983,671.1376,253.3943222,240.8159,3.4034
COL1A2,47756.9497,78607.8811,50132.8553,53843.5171,1839915.766,71087.2885,223678.2607,45649.3384,24128.1655,1839915.766,270533.3358,53843.5171,24128.1655
COPA,15118.6875,6936.6925,14958.551,4968.7034,4599.6767,13638.684,12205.4339,5216.6761,6428.1841,15118.6875,9341.254356,6936.6925,4599.6767
CORT,10.1352,40.2713,1.5257,11.3413,83.4681,7.2536,2.5271,7.3031,3.4219,83.4681,18.58303333,7.3031,1.5257
COX10,313.5349,444.4444,292.1363,232.9856,142.9422,588.9307,252.1652,264.3352,209.6973,588.9307,304.5746444,264.3352,142.9422
CRABP1,272.8239,1.292,1954.3032,36.2643,0,838.0004,2.1904,468.8091,37.3687,1954.3032,401.228,37.3687,0
CRH,0,0,0,0,3.4034,0,0.2738,0.3151,0,3.4034,0.443588889,0,0
CRYBA4,0.6076,0.646,0,0.9935,0.8508,0.4855,0.2738,0.6301,0,0.9935,0.498588889,0.6076,0
CSF2RB,495.2149,80.7494,252.113,778.4401,330.1285,337.4335,504.6042,492.4386,762.5077,778.4401,448.1811,492.4386,80.7494
CSNK1G3,298.3442,476.0982,611.6391,465.4744,749.5958,751.093,797.0173,826.402,475.2934,826.402,605.6619333,611.6391,298.3442
CSNK2B,4557.1381,3791.6473,3996.87,3945.4893,3864.6728,3717.4541,2276.5234,1708.2514,2088.6288,4557.1381,3327.408356,3791.6473,1708.2514
CTBP2,1268.1148,1658.2687,2272.0956,913.0651,1271.1648,1221.5579,1445.3639,1595.7782,940.0865,2272.0956,1398.388389,1271.1648,913.0651
CYB5A,3267.2034,730.6202,227.4832,463.9841,318.2166,198.0905,827.4085,1246.6919,774.2434,3267.2034,894.8824222,730.6202,198.0905
