Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,COUNT
CCND1,0,0,0,0,0,0,0,0,0,0
TUBB8,0,0,0,0,0,0,0,0,0,0
TUBB2B,0,0,0,0,0,0,0,0,0,0
TUBA1A,0,0,0,0,0,0,0,0,0,0
TUBA4A,0,0,0,0,0,0,0,0,0,0
TUBA3E,0,0,0,0,0,0,0,0,0,0
PARP3,0,0,0,0,0,0,0,0,0,0
S1PR4,0,0,0,0,0,0,0,0,0,0
ETV6,0,0,0,0,0,0,0,0,0,0
SLC19A1,0,0,0,0,0,0,0,0,0,0
CYP19A1,0,0,0,0,0,0,0,0,0,0
TUBB3,0,0,0,0,0,0,0,0,0,0
EP300,0,0,0,0,0,0,0,0,0,0
S1PR1,0,0,0,0,0,0,0,0,0,0
CTCF,0,0,0,0,0,0,0,0,0,0
GATA3,0,0,0,0,0,0,0,0,0,0
CDH1,0,0,0,0,0,0,0,0,0,0
AKT2,0,0,0,0,0,0,0,0,0,0
MTOR,0,0,0,0,0,0,0,0,0,0
NTRK3,0,0,0,0,0,0,0,0,0,0
ERBB2,0,0,0,0,0,0,0,0,0,0
CASP8,1,0,0,0,0,0,0,0,0,1
CDKN1B,0,0,0,0,0,0,0,0,0,0
RRM1,0,0,0,0,0,0,0,0,0,0
TUBA1C,0,0,0,0,0,0,0,0,0,0
SMARCD1,0,0,0,0,0,0,0,0,0,0
DHFR,0,0,0,0,0,0,0,0,0,0
TUBB6,0,0,0,0,0,0,0,0,0,0
CDK4,0,0,0,0,0,0,0,0,0,0
MAP2K4,0,0,0,0,0,0,0,0,0,0
FKBP1A,0,0,0,0,0,0,0,0,0,0
ARID1B,0,1,0,0,0,0,0,0,0,1
PARP1,1,0,0,0,0,0,0,0,0,1
TP53,1,1,1,1,1,1,1,0,1,8
EGFR,0,0,0,0,0,1,0,0,0,1
BAP1,0,0,0,0,0,0,0,0,0,0
PPM1D,0,0,0,0,0,0,0,0,0,0
NR1I2,0,0,0,0,0,0,0,0,0,0
MAP3K13,0,0,0,0,0,0,0,0,0,0
ESR1,0,0,0,0,0,0,0,0,0,0
LPAR3,0,0,0,0,0,0,0,0,0,0
PBRM1,0,0,0,0,0,0,0,0,0,0
PIK3CA,0,0,0,1,0,0,0,0,1,2
NR3C1,0,0,0,0,0,0,0,0,0,0
KEAP1,0,0,0,0,0,0,0,0,0,0
CDK6,0,0,0,0,0,0,0,0,0,0
RB1,0,0,0,0,0,0,0,0,0,0
RRM2B,0,0,0,0,0,0,0,0,0,0
CCR2,0,0,0,0,0,0,0,0,0,0
FBLN2,0,0,0,0,0,0,0,0,0,0
RRM2,0,0,0,0,0,0,0,0,0,0
TYMS,0,0,0,0,0,0,0,0,0,0
LPAR2,0,0,0,0,0,0,0,0,0,0
MAP3K1,1,0,0,0,0,0,0,0,0,1
FOLH1,0,0,0,0,0,0,0,0,0,0
TUBB1,0,0,0,0,0,0,0,0,0,0
DRD2,0,0,0,0,0,0,0,0,0,0
PARP2,0,0,0,0,0,0,0,0,0,0
AKT3,0,0,0,0,0,0,0,0,0,0
AKT1,0,0,0,0,0,0,0,0,0,0
CHRM1,0,0,0,0,0,0,0,0,0,0
TOP2A,0,0,0,0,0,0,0,0,0,0
POLA1,0,0,0,0,0,0,0,0,0,0
TUBB4B,0,0,0,0,0,0,0,0,0,0
TBX3,0,0,0,0,0,1,0,0,0,1
BARD1,0,0,0,0,0,0,0,0,0,0
TACR1,0,0,0,0,0,0,0,0,0,0
GNRHR,1,0,0,0,0,0,0,0,0,1
POLD1,0,0,0,0,0,0,0,0,0,0
TUBB2A,0,0,0,0,0,0,0,0,0,0
PGR,0,0,0,0,0,0,0,0,0,0
BRCA2,0,0,0,0,0,0,0,0,0,0
TUBB,0,0,0,0,0,0,0,0,0,0
POLE,0,1,0,0,0,0,0,0,1,2
ESR2,0,0,0,0,0,0,0,0,0,0
FDPS,0,0,0,0,0,0,0,0,0,0
FOXA1,0,0,0,0,0,0,0,0,0,0
BCL2,0,0,0,0,0,0,0,0,0,0
DRD4,0,0,0,0,0,0,0,0,0,0
NCOR1,0,0,0,0,0,0,0,0,0,0
NOTCH1,0,0,0,0,0,1,0,0,0,1
SALL4,0,0,0,0,0,0,0,0,0,0
FLNA,0,0,0,0,0,0,0,0,0,0
ARID1A,0,0,0,0,0,0,0,0,0,0
TUBA1B,0,0,0,0,0,0,0,0,0,0
ACTC1,0,0,0,0,0,0,0,0,0,0
ANAPC15,0,0,0,0,0,0,0,0,0,0
