Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,MAX,AVG,MED,MIN
ABL1,2247.6362,2521.6927,3664.0484,1160.8761,2530.1732,2837.3984,2461.2436,2227.6971,1091.0027,983.6795,1806.7227,3664.0484,2139.28823636364,2247.6362,983.6795
ACHE,121.5669,562.9445,22.5282,240.9366,499.2377,1329.0292,211.6695,38.9004,10.6456,5.9347,66.2383,1329.0292,282.693781818182,121.5669,5.9347
ACTN1,7855.4705,6307.6102,16144.6631,5883.6858,8669.4094,11091.8221,7021.2947,8993.7759,2365.0412,2227.003,4173.999,16144.6631,7339.43408181818,7021.2947,2227.003
ACVRL1,1042.3233,2430.6543,2097.535,406.3444,1358.4245,1478.2401,924.6167,437.2407,724.2445,390.2077,815.6204,2430.6543,1100.4956,924.6167,390.2077
ADPRH,239.982,241.8208,414.3577,719.0332,267.0898,280.7269,357.7513,151.971,103.3654,308.6053,139.3969,719.0332,293.100027272727,267.0898,103.3654
ACAN,158.0369,161.4509,2128.9135,160.8761,327.4004,366.3319,398.2112,74.1701,6.1813,28.1899,5.4375,2128.9135,346.836336363636,160.8761,5.4375
AKT1,3576.7672,4117.3542,3951.6851,1413.142,3417.122,4333.8116,3395.6559,3324.6888,2539.4918,1188.4273,4145.823,4333.8116,3218.54262727273,3417.122,1188.4273
ALDH3A1,302.5664,186.3442,0.4023,4.5317,18.1889,50.6934,32.368,365.1452,4.8077,2.9674,51.4088,365.1452,92.6749090909091,32.368,0.4023
ALOX15,22.9626,4.9787,21.3213,37.7644,0.9573,3.3477,6.8143,135.8921,1.0302,0,2.4716,135.8921,21.5945636363636,4.9787,0
ALX3,6.7537,20.9815,19.3099,14.3505,24.8901,20.5643,34.0716,24.8963,12.3626,7.4184,10.3806,34.0716,17.8163181818182,19.3099,6.7537
AMY2B,46.2134,11.0242,33.575,95.3474,44.5628,25.7198,97.8365,11.5145,19.8764,61.5727,49.5156,97.8365,45.1598454545455,44.5628,11.0242
ANK3,458.3521,331.7923,252.6375,857.2508,544.2314,219.5122,320.6985,603.2158,954.3269,921.365,308.4528,954.3269,524.7123,458.3521,219.5122
APC,853.6695,596.3727,1157.7878,3394.2598,2000.3016,583.9311,706.9847,542.5311,2051.8544,3097.9228,398.4182,3394.2598,1398.54851818182,853.6695,398.4182
AIRE,2.2512,0,0,0,0,0,1.2777,0,0,0,0,2.2512,0.320809090909091,0,0
APRT,2456.5511,2144.7368,1024.6301,111.0272,1142.0721,2131.516,1268.3135,3645.2282,1163.8049,212.1662,3325.2595,3645.2282,1693.2096,1268.3135,111.0272
FAS,277.0644,899.7155,454.1843,1001.2538,487.2714,360.1148,1179.7274,672.1992,848.9011,1440.1632,511.1221,1440.1632,739.247018181818,672.1992,277.0644
ARHGAP5,2127.8703,1728.3073,1698.4643,17030.9668,8949.9015,1711.6212,1842.845,1561.722,12159.3407,20353.1157,1709.8369,20353.1157,6443.09015454545,1842.845,1561.722
ALDH7A1,1997.7488,1323.2575,1095.8353,549.8489,579.1732,937.8288,599.2334,888.4855,446.0852,480.7122,1115.6698,1997.7488,910.3526,888.4855,446.0852
B2M,40640.2521,95909.9751,55136.9291,65466.7674,79131.8146,85528.9335,137433.9864,49578.3195,46498.283,47192.8783,38619.8715,137433.9864,67376.1827727273,55136.9291,38619.8715
BAD,645.2679,579.143,523.3941,54.781,641.8532,1231.7169,476.9549,745.5654,275.5323,69.9258,1091.5868,1231.7169,575.974663636364,579.143,54.781
BAX,1071.5894,1372.3329,951.4135,158.6103,284.8001,865.1363,1413.1175,453.3195,498.9698,281.8991,2221.9476,2221.9476,870.285090909091,865.1363,158.6103
CEACAM1,799.6398,3955.5477,357.6349,1944.1088,1771.0255,3375.4185,2741.052,3293.0498,3007.8984,5578.635,3996.5398,5578.635,2801.8682,3007.8984,357.6349
BIK,217.0194,287.34,27.7579,243.2024,588.7463,731.7073,183.9864,923.7552,341.3462,268.546,780.524,923.7552,417.6301,287.34,27.7579
BNC1,2.7015,0,34.5969,36.2538,3.8292,5.2606,2.1295,0.5187,0,5.9347,0.4943,36.2538,8.33810909090909,2.7015,0
BMPR1A,532.1927,455.192,438.495,1219.0332,807.0133,308.9431,281.0903,438.278,1196.772,1428.7834,470.5882,1428.7834,688.761927272727,470.5882,281.0903
BNIP1,223.7731,164.2959,156.0881,54.3807,218.2669,273.5533,125.6388,219.3983,327.6099,66.7656,322.7879,327.6099,195.687136363636,218.2669,54.3807
BRAF,157.5867,40.5405,220.0521,567.9758,419.7809,110.9517,137.9898,60.166,257.5549,409.4955,75.6303,567.9758,223.429472727273,157.5867,40.5405
BRDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BST1,90.0495,44.0967,306.1419,139.7281,132.5876,136.2984,141.3969,28.0083,142.5137,140.9496,139.3969,306.1419,131.015236363636,139.3969,28.0083
DAGLA,289.9595,423.8976,291.6595,83.8369,175.6666,251.5543,239.7785,299.2739,76.9231,99.4065,459.219,459.219,244.652309090909,251.5543,76.9231
CACNA1S,0,0.3556,5.2298,9.0634,1.436,0.4782,0,0,0,1.4837,0,9.0634,1.64060909090909,0.3556,0
CALML3,5.403,0,0.8046,0,0,3.8259,0,1.0373,0,0,2.4716,5.403,1.23112727272727,0,0
CALU,4843.3138,4604.1963,17681.4072,17256.7976,9420.8986,7930.6552,4098.3816,3495.8506,3640.7967,7286.3501,2513.0994,17681.4072,7524.70428181818,4843.3138,2513.0994
CASP6,864.9257,785.9175,279.5909,164.6526,344.632,302.726,347.9557,553.9419,1049.4505,569.7329,1271.3791,1271.3791,594.082254545455,553.9419,164.6526
CCK,0.9005,0,58.3319,0,2.8719,0.9565,74.5315,3.6307,0,0,0,74.5315,12.8384545454545,0.9005,0
CCNE1,153.9847,327.1693,163.7316,55.136,88.5513,163.5581,231.6865,203.8382,168.6126,124.6291,305.4869,327.1693,180.580390909091,163.7316,55.136
CCNT1,253.4894,85.7041,293.2687,430.5136,510.2468,123.8642,315.1618,154.0456,1445.0549,767.0623,146.3174,1445.0549,411.338981818182,293.2687,85.7041
CD36,153.9847,65.0782,464.2415,364.0483,215.8737,156.3845,197.615,77.8008,447.1154,728.4866,270.8848,728.4866,285.592136363636,215.8737,65.0782
CD40LG,41.873,23.1152,6.0343,19.6375,4.3079,6.2171,43.8671,5.1867,19.9176,65.2819,43.9941,65.2819,25.4029454545455,19.9176,4.3079
CD81,7783.4309,5185.633,9652.1206,4103.4743,5390.1402,11569.5839,6746.167,8868.7759,3111.9505,2458.457,9512.605,11569.5839,6762.03075454546,6746.167,2458.457
CDKN2C,286.3575,560.0996,520.9643,173.716,246.9863,281.2052,333.0494,250.5187,117.1016,91.9881,264.953,560.0996,284.267245454545,264.953,91.9881
CDO1,31.9676,12.8023,41.8381,24.9245,11.9664,11.4778,25.1278,7.2614,1.717,25.2226,1.9773,41.8381,17.8438909090909,12.8023,1.717
CDSN,19.3606,58.6771,26.5511,164.6526,39.7284,45.911,61.3288,28.0083,34.3407,44.5104,83.045,164.6526,55.1012727272727,44.5104,19.3606
CHRM1,20.7114,53.6984,47.4701,9.0634,77.5422,137.2549,26.4055,83.5062,4.4643,0,10.3806,137.2549,42.7724545454545,26.4055,0
CHRNB4,14.4079,0.7112,10.0572,12.8399,0.4787,3.3477,5.5366,5.7054,2.4038,1.4837,2.9659,14.4079,5.44890909090909,3.3477,0.4787
KLF6,4186.4025,4955.192,7797.1659,16146.5257,3327.6134,3027.7379,5783.6457,1364.6266,2428.5714,6155.7864,2352.9412,16146.5257,5229.65533636364,4186.4025,1364.6266
COX8A,2522.7375,3223.6842,2528.3865,461.4804,2038.1153,2792.922,1686.5417,3656.639,2387.3626,864.9852,5614.434,5614.434,2525.20803636364,2522.7375,461.4804
CSN3,0,0,0,0,0.9573,0,0.4259,1.0373,0,1.4837,0,1.4837,0.354927272727273,0,0
CTBP2,1943.2688,3024.5377,1360.5415,2093.6556,1614.5052,1969.8709,1957.8365,3043.5685,1683.7225,2669.1395,2035.0964,3043.5685,2126.88573636364,1969.8709,1360.5415
CTF1,32.4178,39.4737,64.3662,154.8338,18.6676,75.5619,27.2572,16.0788,0,10.3858,13.8408,154.8338,41.1712363636364,27.2572,0
CTH,169.2931,120.9104,104.9974,56.6465,104.8256,99.4739,64.3101,49.2739,125,136.4985,172.5161,172.5161,109.431409090909,104.9974,49.2739
CTLA4,49.077,65.7895,75.228,249.2447,73.713,44.4763,301.9591,76.7635,83.4478,235.905,178.9422,301.9591,130.413281818182,76.7635,44.4763
CTNNB1,9999.9865,9803.3073,8346.5479,11664.645,16145.3198,9855.5571,11213.2709,9576.7531,13454.6016,8190.5341,7264.439,16145.3198,10501.3602090909,9855.5571,7264.439
CUX1,1898.244,1422.1195,2493.3874,1740.1813,2571.3376,3320.4209,1605.1959,2087.1369,696.0852,792.2849,1208.1068,3320.4209,1803.1364,1740.1813,696.0852
CYP3A5,643.8541,146.1593,6.4366,735.6495,359.949,186.0354,1436.9676,240.6639,1360.5769,753.7092,851.2111,1436.9676,611.019327272727,643.8541,6.4366
CYP11B1,0,0,0,0,1.436,0,0.4259,0,0,4.451,0,4.451,0.5739,0,0
DGKB,8.5547,0.3556,3.2183,10.574,0,2.3912,9.7956,4.668,2.0604,29.6736,5.9318,29.6736,7.02029090909091,4.668,0
DBN1,1885.6371,1714.7937,3618.9921,837.6133,2642.6573,4460.5452,847.5298,2292.5311,248.9698,225.5193,1061.2951,4460.5452,1803.28034545455,1714.7937,225.5193
DLST,3043.2238,2374.111,2211.3828,933.5347,1340.2355,2382.5921,2385.0085,2891.5975,4091.3462,2001.4837,6711.8141,6711.8141,2760.57544545455,2382.5921,933.5347
DMBT1,574.0657,12059.0327,11.2641,46.0725,16550.9517,11598.2783,36.6269,2386.4108,110.2335,37.092,94.9086,16550.9517,3954.99425454545,110.2335,11.2641
DYNC1LI2,3291.3102,2548.7198,3584.3952,7847.432,4204.989,3324.725,3155.4514,1810.166,2365.728,6137.9822,1757.7855,7847.432,3638.9713,3291.3102,1757.7855
TYMP,1233.6785,3372.3329,2255.2323,208.4592,1369.4335,2499.2826,6644.8041,2330.3942,641.8269,215.1335,3272.8621,6644.8041,2185.76725454545,2255.2323,208.4592
ECH1,3589.4327,2102.7738,3140.6704,267.3716,745.7454,2232.9029,3241.908,3065.8714,855.7692,860.5341,5631.2506,5631.2506,2339.47546363636,2232.9029,267.3716
ECM1,723.548,1061.1664,2943.1465,632.9305,925.2412,2281.6834,837.7342,1022.3029,167.9258,154.3027,557.0934,2943.1465,1027.91590909091,837.7342,154.3027
LPAR1,244.4845,225.1067,939.7472,907.855,444.671,252.0325,153.7479,104.7718,117.1016,329.3769,59.3178,939.7472,343.4739,244.4845,59.3178
EEF1A1,130746.0603,70893.67,78042.0593,57465.2568,101452.4803,90362.9842,71456.1329,93981.3278,144955.0137,70272.997,96643.1043,144955.0137,91479.1896909091,90362.9842,57465.2568
EFNA3,449.4237,1068.2788,61.2284,349.6979,441.3204,919.6557,118.8245,683.0913,132.8984,317.5074,491.8438,1068.2788,457.615481818182,441.3204,61.2284
EFNA4,322.751,362.0199,190.6045,142.7492,230.2333,546.1502,204.8552,340.7676,157.2802,130.5638,391.4978,546.1502,274.497518181818,230.2333,130.5638
EGFR,630.3467,333.5704,742.2192,1068.7311,780.5532,331.4204,504.2334,304.4606,478.9389,884.273,111.216,1068.7311,560.905718181818,504.2334,111.216
EIF2S3,5335.8847,7169.9858,2949.1808,6612.5378,3755.0528,2940.6982,2570.6985,6701.2448,4679.6016,8866.4688,4443.4009,8866.4688,5093.15951818182,4679.6016,2570.6985
