Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,COUNT
KRAS,0,0,0,0,0,0,0,0,0,0,0,0
FGFR2,1,0,0,0,0,0,0,0,0,0,0,1
RAD17,0,1,0,0,0,0,0,0,0,0,0,1
HIF1A,1,0,0,0,0,0,1,0,0,0,0,2
BAZ1A,0,1,0,0,0,0,0,0,0,0,0,1
MAX,1,0,0,0,0,0,0,0,0,0,0,1
MSH6,1,1,1,0,0,0,0,0,0,0,0,3
BAX,0,0,0,0,0,0,0,0,0,0,0,0
CTLA4,1,0,0,0,0,0,0,0,0,0,0,1
TEK,0,0,0,0,0,0,0,1,0,0,0,1
VTI1A,0,0,1,0,0,0,0,0,0,0,0,1
ARHGAP5,1,1,0,0,0,0,0,0,1,1,1,5
FLT1,1,0,0,0,0,0,0,0,1,1,1,4
RSPO3,1,0,0,0,0,0,0,0,0,0,0,1
TBL1XR1,0,0,0,0,0,0,0,0,0,0,0,0
DDR2,0,1,0,0,0,0,0,0,0,0,0,1
GUCY2C,0,0,1,1,1,1,0,0,1,1,1,7
VEGFA,0,0,0,0,0,0,0,0,0,0,0,0
BCL9L,0,1,1,0,0,0,1,0,1,1,1,6
SFRP4,1,0,1,0,0,0,0,0,0,0,0,2
PDCD1,0,1,0,0,0,0,0,0,0,0,0,1
EPHA2,1,0,0,1,1,1,0,0,0,0,0,4
LEPROTL1,0,0,0,0,0,0,0,0,0,0,0,0
CHRM1,0,0,1,0,0,0,0,1,0,0,0,2
ERBB3,0,0,1,0,0,0,1,0,0,0,0,2
USP44,0,0,0,0,0,0,0,0,0,0,0,0
B2M,1,0,0,0,0,0,0,0,1,1,1,4
EIF3E,1,0,0,0,0,0,0,0,0,0,0,1
MAP2K4,0,0,0,0,0,0,0,0,0,0,0,0
AXIN2,0,0,0,0,0,0,0,1,0,0,0,1
TYMP,0,0,0,1,1,1,0,0,0,0,0,3
FBXW7,1,0,1,0,0,0,1,0,0,0,0,3
RAF1,1,0,0,0,0,0,0,0,0,0,0,1
PIK3CA,1,1,0,1,1,1,0,1,1,1,1,9
PDGFRB,0,1,1,0,0,0,1,0,0,0,0,3
MSH2,1,0,1,1,1,1,0,0,0,0,0,5
KDR,1,0,0,0,0,0,0,0,0,0,0,1
PIK3R1,1,0,0,1,1,1,0,0,1,1,1,7
PTPRT,1,0,0,0,0,0,0,1,0,0,0,2
RET,0,0,0,0,0,0,1,0,0,0,0,1
POLE,1,1,1,1,1,1,0,0,0,0,0,6
UBR5,1,0,1,1,1,1,0,0,1,1,1,8
SIRPA,1,1,0,0,0,0,0,0,0,0,0,2
CUX1,0,1,0,1,1,1,0,0,0,0,0,4
TCF7L2,0,1,0,1,1,1,0,0,0,0,0,4
TGFBR2,0,0,0,0,0,0,0,0,0,0,0,0
ROBO2,1,0,0,0,0,0,0,0,0,0,0,1
KIT,1,0,0,1,1,1,0,0,0,0,0,4
ABL1,1,0,1,0,0,0,0,0,0,0,0,2
EP300,1,0,1,0,0,0,0,0,1,1,1,5
STAG1,1,0,0,1,1,1,0,0,0,0,0,4
SMAD3,0,0,0,1,1,1,0,0,0,0,0,3
MLH1,0,0,0,0,0,0,0,0,1,1,1,3
FBLN2,1,1,1,0,0,0,0,1,0,0,0,4
TYMS,0,0,0,0,0,0,0,0,0,0,0,0
PRPF40B,1,0,0,1,1,1,1,1,0,0,0,6
FLT4,0,0,0,0,0,0,0,0,1,1,1,3
FRK,0,0,0,0,0,0,0,0,0,0,0,0
MAP2K1,0,0,0,0,0,0,0,0,0,0,0,0
TP53,0,1,1,0,0,0,0,0,0,0,0,2
GRIN2A,1,1,0,0,0,0,0,0,0,0,0,2
PDGFRA,1,0,0,0,0,0,1,0,0,0,0,2
EGFR,0,0,0,0,0,0,1,0,0,0,0,1
CTNNB1,1,0,0,0,0,0,0,0,1,1,1,4
PRDM2,1,0,1,1,1,1,0,1,0,0,0,6
BRAF,1,1,0,0,0,0,1,1,0,0,0,4
ZNRF3,0,0,0,1,1,1,0,0,0,0,0,3
QKI,1,0,0,0,0,0,0,0,0,0,0,1
SALL4,1,0,0,1,1,1,0,0,0,0,0,4
GLRB,1,0,0,0,0,0,0,0,0,0,0,1
VEGFB,0,0,0,0,0,0,0,0,0,0,0,0
PGF,0,0,0,0,0,0,0,0,0,0,0,0
SRC,0,0,0,0,0,0,0,0,0,0,0,0
MDM2,1,0,0,0,0,0,0,0,0,0,0,1
AKT1,0,1,0,0,0,0,0,0,0,0,0,1
SMAD4,1,0,0,0,0,0,0,0,0,0,0,1
MAPK11,0,0,1,0,0,0,0,1,0,0,0,2
FGFR1,1,0,0,0,0,0,0,0,0,0,0,1
RSPO2,0,1,0,0,0,0,0,0,0,0,0,1
NTRK1,0,0,0,0,0,0,1,1,0,0,0,2
PTPRK,1,0,1,0,0,0,0,0,0,0,0,2
APC,1,0,1,1,1,1,0,1,0,0,0,6
ARHGEF10,1,0,0,0,0,0,0,1,0,0,0,2
ERGIC1,0,0,0,0,0,0,0,0,0,0,0,0
PRKCG,1,0,1,0,0,0,0,0,0,0,0,2
LILRB2,1,0,0,0,0,0,0,0,0,0,0,1
ZCWPW1,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD23,0,0,0,0,0,0,0,0,0,0,0,0
ITPRIPL2,0,0,0,0,0,0,0,0,0,0,0,0
ARAP1,1,0,1,0,0,0,0,0,0,0,0,2
ZNF77,0,0,0,0,0,0,0,0,0,0,0,0
CCDC102A,0,0,0,0,0,0,0,0,1,1,1,3
TMEM43,0,1,0,0,0,0,0,0,0,0,0,1
