Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
ABL1,1002.809,1133.9286,1201.397,1203.9176,1963.9528,1631.7292,1113.5104,1507.0911,325.3012,758.4308,1963.9528,1184.20677,1167.6628,325.3012
ACADM,2994.382,7083.1044,1860.3027,3509.7941,307.4373,545.05,5138.0216,2314.3906,526.1044,759.1191,7083.1044,2503.77062,2087.34665,307.4373
ADH5,4830.9925,5334.478,1462.1653,10062.7825,923.1407,6505.2517,5698.2784,4668.0551,4579.6519,4640.7433,10062.7825,4870.55394,4749.5238,923.1407
AGTR1,250,480.7692,1534.3423,205.4244,126.7868,236.6064,2712.5766,887.4343,336.0107,3876.1184,3876.1184,1064.60691,408.38995,126.7868
ALK,0.4682,1.3736,0,0,1.6573,1.1403,0,0.7934,0,0,1.6573,0.54328,0.2341,0
SLC25A4,693.8202,2403.1593,2692.6659,1245.103,837.7874,1169.9191,1519.6965,1613.012,904.9531,1717.137,2692.6659,1479.72535,1382.39975,693.8202
APC,416.1985,703.9835,894.0629,543.9478,183.1365,550.1812,680.4786,875.9298,267.7376,322.7805,894.0629,543.84369,547.0645,183.1365
ART3,0.4682,6.1813,0,0.5023,1.6573,0,0,0,1.3387,0,6.1813,1.01478,0.2341,0
ASPH,4444.1994,4448.0151,1413.7835,7181.2506,1966.2316,6676.5262,3688.7423,22029.4397,9854.7523,566.0358,22029.4397,6226.89765,4446.10725,566.0358
ATOH1,0,0,0,1.0045,0,0,0,0,0,0,1.0045,0.10045,0,0
ATP1B2,33.7079,10.989,47.7299,48.7192,558.525,19.3846,105.0481,41.6543,68.2731,209.9105,558.525,114.39416,48.22455,10.989
ALDH7A1,2230.8052,6870.8791,6307.3341,2746.8609,1024.2387,2272.5621,4447.0382,3737.7765,879.5181,2086.7171,6870.8791,3260.373,2509.7115,879.5181
ATP6V1C1,1039.3258,1502.7473,1018.6263,3492.215,3226.0203,3684.2188,1035.3078,4323.7132,3911.6466,1033.0351,4323.7132,2426.68562,2364.3838,1018.6263
B2M,37488.2959,85326.2363,87140.8615,45713.7117,16693.5985,35585.6081,82409.1042,58502.0331,78440.4284,57926.3593,87140.8615,58522.6237,58214.1962,16693.5985
BCKDHB,465.3558,1334.478,973.2247,562.0291,306.6087,294.1902,1936.3875,496.2809,97.7242,109.4288,1936.3875,657.57079,480.81835,97.7242
BMPR1B,0.9363,21.978,4.6566,1.0045,5.8007,0,15.1736,0,2.6774,9.6352,21.978,6.18623,3.667,0
BRAF,108.1461,101.6484,26.7753,67.8051,93.6399,50.172,133.061,358.6234,69.6118,30.2822,358.6234,103.97652,81.62585,26.7753
BSG,9558.5206,5455.3571,19844.0047,5983.9277,35622.1255,15180.4409,5009.6294,6588.1186,10704.1499,28049.5526,35622.1255,14199.5827,10131.33525,5009.6294
BTG1,5067.4157,2023.3516,1949.9418,2206.9312,3114.9782,2349.5304,6061.2781,1845.8792,5120.4819,3175.499,6061.2781,3291.52871,2732.2543,1845.8792
CA1,0,3.4341,1.1641,36.665,0.8287,0.5701,2.3344,1.9835,2.6774,0,36.665,4.96573,1.5738,0
CALCB,0.4682,4.1209,5.8207,0.5023,1.6573,0.5701,0,0,0,0,5.8207,1.31395,0.48525,0
CALR,46001.8727,48483.5165,46543.6554,27205.9267,29266.2109,43633.0776,41878.0274,26041.8526,59538.1526,49145.905,59538.1526,41773.81974,44817.47515,26041.8526
CAMK2A,0,9.6154,2.3283,102.4611,1.6573,1.1403,1.1672,159.4763,4.0161,6.8823,159.4763,28.87443,3.1722,0
CD33,4.6816,28.8462,9.3132,25.6153,17.4021,61.0046,89.8745,32.1333,109.7724,35.788,109.7724,41.44312,30.48975,4.6816
CD63,5352.5281,7538.4615,4928.9872,10800.6027,41693.8057,22682.8604,8743.5074,8342.7551,34555.5556,30302.1335,41693.8057,17494.11972,9772.05505,4928.9872
CD70,0,2.0604,2.3283,0,0,0.5701,4.6688,0.7934,14.7256,8.2588,14.7256,3.34054,1.4269,0
CDH1,5552.9026,5212.9121,5364.3772,1000.5023,6244.0439,10.2624,6696.2358,474.8587,4190.0937,2002.7529,6696.2358,3674.89416,4701.5029,10.2624
CDH5,864.2322,861.2637,488.9406,1053.2396,248.6016,852.3533,1194.0473,766.4386,361.4458,1337.9215,1337.9215,802.84842,856.8085,248.6016
CEBPD,1951.3109,1320.7418,662.3981,1719.2366,1962.2954,6463.0616,4072.3665,2051.7703,4009.3708,1242.2574,6463.0616,2545.48094,1956.80315,662.3981
CHM,471.9101,519.2308,238.6496,743.8473,141.7029,511.412,354.8293,675.9893,143.2396,167.2402,743.8473,396.80511,413.3697,141.7029
CLU,20829.1199,158313.8736,80356.2282,94650.9292,68823.7,72841.7146,188625.6201,34653.5753,508357.4297,180601.5141,508357.4297,140805.3705,87503.5787,20829.1199
CLTC,8566.4794,10295.3297,7603.0268,7566.0472,6277.1908,13676.4222,8759.8483,11897.6495,8979.9197,8708.8782,13676.4222,9233.07918,8734.36325,6277.1908
COL11A2,8.427,11.6758,19.7905,32.1447,129.2728,4.5611,10.5048,2.777,0,8.947,129.2728,22.81007,9.7259,0
CPT1A,2853.9326,12478.7088,5615.8324,10655.4495,1640.7707,2193.3132,7209.8045,4593.0775,2736.2784,2855.4714,12478.7088,5283.2639,3724.27445,1640.7707
CRHR1,0,0,0,0,26.1363,0,0,0,0,4.1294,26.1363,3.02657,0,0
CSN3,3.2772,0.6868,0,23.104,0,3.4208,0,0.3967,0,0,23.104,3.08855,0.19835,0
CSNK1D,2189.6067,1984.2033,2591.3853,2789.0507,3797.804,5355.2874,1949.2267,2308.0432,2626.506,3301.4453,5355.2874,2889.25586,2608.94565,1949.2267
CSNK2A1,1175.5618,701.2363,883.5856,695.1281,425.9374,1166.4982,717.829,899.7322,737.6171,961.4591,1175.5618,836.45848,810.60135,425.9374
