Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,MAX,AVG,MED,MIN
A1BG,111.1777,131.7203,83.5763,124.786,187.1483,197.8619,346.4449,84.7724,183.3645,250.7719,346.4449,170.16242,157.5424,83.5763
NAT1,135.2546,98.1932,187.5607,113.4094,141.9478,103.1614,87.3883,141.2316,109.8131,34.2333,187.5607,115.21934,111.61125,34.2333
AARS,1549.2795,1346.4258,942.6628,1519.2582,1070.6556,1331.9468,1254.2205,825.3012,2072.4299,1701.1304,2072.4299,1361.33107,1339.1863,825.3012
ABAT,237.464,279.6544,677.3567,547.7889,253.9784,486.6889,234.3595,191.4324,97.352,161.9497,677.3567,316.80249,245.7212,97.352
ABCA2,745.4371,1062.8437,820.2138,435.806,589.4335,1676.3727,7690.1688,772.423,1053.7383,6005.3062,7690.1688,2085.17431,936.97605,435.806
ABCA3,12.2959,60.487,198.2507,23.5378,98.6633,50.7488,176.7627,87.0147,101.2461,300.1995,300.1995,110.92065,92.839,12.2959
ABL1,1462.44,1813.0401,1307.0943,957.9173,1940.802,1296.173,2764.6475,1122.49,1996.1059,2707.0619,2764.6475,1736.7772,1637.74005,957.9173
ABL2,1195.7733,1495.6795,1359.5724,1082.0257,2083.3864,854.4093,1626.6137,1632.5301,1902.648,1244.2478,2083.3864,1447.68862,1427.62595,854.4093
ACADSB,521.0375,1621.3668,430.5151,298.8588,439.2107,419.3012,806.3555,334.0027,817.757,305.4661,1621.3668,599.38714,434.8629,298.8588
ACAT2,355.489,388.1304,427.8328,454.622,265.4297,390.2995,306.3456,473.2195,313.7383,622.7954,622.7954,399.79022,389.21495,265.4297
ACO1,388.8569,329.9293,329.4461,357.3466,432.8453,427.6206,567.0308,451.8072,495.3271,260.6995,567.0308,404.09094,408.23875,260.6995
ACP1,906.8204,1127.2584,943.6346,916.5478,1374.2839,1100.6656,1750.7448,829.9866,1172.1184,1957.8799,1957.8799,1207.99404,1113.962,829.9866
ACTA2,222.8626,362.011,344.9951,304.2368,202.3361,126.9967,202.721,152.6908,477.5857,198.5135,477.5857,259.49493,212.7918,126.9967
ACTL6A,938.3285,1285.1532,956.2682,1129.8146,1244.4303,872.7121,713.0089,812.5837,992.9907,437.1326,1285.1532,938.24228,947.29835,437.1326
ACVR2A,38.4246,47.1328,65.1118,81.3124,56.6518,108.985,99.3049,98.3936,45.9502,31.5999,108.985,67.2867,60.8818,31.5999
ADA,468.0115,1075.4124,1364.4315,342.368,516.2317,386.8552,2926.5144,1024.0964,280.3738,5516.8237,5516.8237,1390.11186,770.16405,280.3738
ADARB1,53.0259,679.4973,712.3421,104.8502,212.6034,536.6057,442.8997,452.4766,60.7477,1036.2149,1036.2149,429.12635,447.68815,53.0259
ADH6,0,3.9277,0,0,8.275,4.1597,0.993,2.008,5.4517,0,8.275,2.48151,1.5005,0
ADORA2A,169.0682,156.2451,332.3615,151.9258,44.5576,172.1131,101.291,33.4672,47.5078,271.2329,332.3615,147.97702,154.08545,33.4672
ADPRH,626.3208,368.4211,902.8183,335.2354,441.7568,526.6223,105.2632,89.0228,404.9844,106.6498,902.8183,390.70949,386.70275,89.0228
ADRA1D,3.8425,2.3566,0,1.4265,0,0,1.9861,1.3387,1.5576,1.3167,3.8425,1.38247,1.3826,0
ADRA2A,4.611,7.8555,0.9718,13.5521,364.7358,6.6556,41.708,2.6774,95.7944,0,364.7358,53.85616,7.25555,0
ADRA2B,0,0,0,0,8.275,0,11.9166,0.6693,1.5576,18.4333,18.4333,4.08518,0.33465,0
AEBP1,92.9875,154.7526,109.8154,144.7932,697.6448,111.4809,721.9464,192.7711,1028.0374,493.7491,1028.0374,374.79784,173.76185,92.9875
AGTR1,0,11.7832,0,0,1.9096,34.9418,14.8957,0.6693,7.7882,0,34.9418,7.19878,1.28945,0
AK1,7.6849,49.4894,23.3236,42.796,24.1884,373.5441,156.9017,43.5074,95.7944,80.3165,373.5441,89.75464,46.4984,7.6849
ALAD,1085.1105,1760.4085,1376.0933,1330.9558,831.9542,3822.7953,1972.1946,1324.6319,994.5483,936.1484,3822.7953,1543.48408,1327.79385,831.9542
ALAS2,3.8425,1380.2042,17.4927,247.5036,59.8345,9574.8752,5099.3049,204.1499,656.5421,192.233,9574.8752,1743.59826,225.82675,3.8425
ALDH1A3,23.4851,46.3865,8.1633,25.0499,35.2833,476.2729,591.569,25.5221,66.0826,0,591.569,129.78147,30.4027,0
ALDH3A2,842.2671,440.6913,2452.8669,1248.2168,224.6976,1073.2113,366.435,999.3307,591.9003,742.5987,2452.8669,898.22157,792.4329,224.6976
ALK,5.3794,0,0,4.9929,0,1.6639,10.9235,8.0321,0.7788,3.95,10.9235,3.57206,2.80695,0
ALOX15,47.6465,16.4965,0.9718,39.2297,4.4558,4.1597,0.993,5.3548,0,0,47.6465,11.93078,4.30775,0
ALOX15B,0,0.7855,0,2.8531,0,3.3278,9.9305,28.1124,0,2.6333,28.1124,4.76426,1.7094,0
AMFR,1386.3593,1029.8507,1517.0068,1925.8203,1022.2788,1358.5691,2206.5541,1837.3494,1146.4174,1946.0299,2206.5541,1537.62358,1451.68305,1022.2788
AMHR2,0,0.7855,0,0,0,0,1.9861,0,0,0,1.9861,0.27716,0,0
AMY2A,0,0.7855,3.8873,0,1.9096,2.4958,6.9513,3.3467,2.3364,3.95,6.9513,2.56626,2.4161,0
ANK1,67.6273,4040.0628,27.2109,155.4922,29.2807,7816.9717,6887.7855,64.257,450.9346,172.483,7816.9717,1971.21057,163.9876,27.2109
ANK3,7.6849,10.9976,465.5005,16.4051,21.0057,32.4459,401.1917,30.1205,23.3645,194.8663,465.5005,120.35827,26.7425,7.6849
SLC25A5,5479.3468,3666.143,4993.1973,7005.7061,4122.2151,4115.6406,4392.2542,3338.6881,4710.2804,9008.6176,9008.6176,5083.20892,4551.2673,3338.6881
ANXA7,1882.805,1830.3221,1564.6259,2363.766,1708.4659,1881.0316,2078.4508,2183.4003,1393.3022,1730.097,2363.766,1861.62668,1855.67685,1393.3022
AIRE,0,0,0,14.2653,1.2731,0.8319,6.9513,2.6774,19.4704,1.3167,19.4704,4.67861,1.2949,0
BIRC3,230.5476,274.1555,404.276,203.281,262.8899,405.99,115.1936,851.4056,126.1682,85.5832,851.4056,295.94906,246.71875,85.5832
BIRC5,178.7819,310.4556,298.1147,362.8816,145.3087,283.2862,360.3277,151.9813,373.7383,231.9699,373.7383,269.68459,290.70045,145.3087
AQP9,376.561,1110.762,1992.2255,4813.1241,61.1076,667.2213,6.9513,1153.9491,46.729,263.3329,4813.1241,1049.19638,521.89115,6.9513
ABCC6,44.5725,34.564,170.068,33.5235,35.6461,400.9983,91.3605,22.0884,116.0436,263.3329,400.9983,121.21978,67.9665,22.0884
ARF4,2200.9606,2553.0244,2492.7114,2729.6719,2424.5703,2376.8719,1965.2433,1769.0763,2186.1371,2584.6121,2729.6719,2328.28793,2400.7211,1769.0763
RHOC,322.7666,48.7038,183.6735,594.1512,190.9612,87.3544,292.9494,862.1151,466.5109,363.3994,862.1151,341.25855,307.858,48.7038
RND3,0,7.0699,0,3.5663,0,15.807,31.7776,1.3387,2.3364,0,31.7776,6.18959,1.83755,0
ARNT,2642.0749,1960.7227,2414.966,2407.9886,2858.0522,2625.624,1499.5035,2692.1017,2006.2305,1470.7141,2858.0522,2257.79782,2411.4773,1470.7141
ARNTL,26.8972,186.9599,121.4772,373.0385,61.7441,384.3594,80.4369,700.1339,82.5545,110.5998,700.1339,212.82014,116.0385,26.8972
