Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,COUNT
ERG,7,4,6,8,2,9,3,1,10,5,55
TCL1A,0,0,0,0,0,0,0,0,0,0,0
CCND1,0,0,0,0,0,0,0,0,0,0,0
FLT3,0,0,0,0,0,0,0,0,0,0,0
HOXA11,0,0,0,0,0,0,0,0,0,0,0
TUBB8,0,0,0,0,0,0,0,0,0,0,0
STK24,0,0,0,0,0,0,0,0,0,0,0
TUBA1A,0,0,0,0,0,0,0,0,0,0,0
DDR2,0,0,0,0,1,0,0,0,0,0,1
TUBA4A,0,0,0,0,0,0,0,0,0,0,0
BCL2L1,0,0,0,0,0,0,0,0,0,0,0
TUBA3E,0,0,1,0,0,0,0,0,0,0,1
CD52,0,0,0,0,0,0,0,0,0,0,0
BCL2L2,0,0,0,0,0,0,0,0,0,0,0
SH3GL1,0,0,0,0,0,0,0,0,0,0,0
NOS2,0,0,1,0,0,0,0,0,0,0,1
TPM3,0,0,0,0,0,0,0,0,0,0,0
CDK2,0,0,0,0,0,0,0,0,0,0,0
PML,0,0,0,0,0,0,0,0,0,0,0
ETV6,0,0,0,0,0,0,0,0,0,0,0
HSD11B1,0,0,1,0,0,0,0,0,0,0,1
BCR,0,0,0,0,0,0,0,0,0,0,0
MS4A1,0,0,0,1,0,0,0,0,0,0,1
NT5C2,0,0,0,0,0,0,0,0,0,0,0
PAX5,1,0,0,0,0,0,0,0,0,0,1
CNOT3,0,0,0,1,0,0,0,0,0,0,1
ZBTB16,0,0,0,1,0,0,0,0,0,0,1
TRIM24,0,0,0,0,0,0,0,0,0,0,0
BTG1,0,0,1,0,0,0,0,0,0,0,1
MYH9,0,0,0,0,0,0,0,0,0,0,0
SET,0,0,0,0,0,0,0,0,0,0,0
KIT,0,0,0,0,0,0,0,0,0,0,0
NUP98,0,1,1,0,0,0,0,0,0,0,2
TUBB3,0,0,0,0,0,1,0,0,0,0,1
ALK,0,1,1,0,0,0,0,0,0,0,2
OLIG2,0,0,0,0,0,0,0,0,0,0,0
MLLT6,0,0,0,0,0,0,0,0,0,0,0
XPO1,0,0,0,0,0,0,0,0,0,0,0
MAP2K1,0,0,0,0,0,0,0,0,0,0,0
BLK,0,0,0,0,0,0,0,0,0,0,0
SIK2,0,0,0,0,0,0,0,0,0,0,0
EPS15,0,0,0,0,0,0,0,0,0,0,0
PICALM,0,0,0,0,0,0,0,0,0,0,0
GAS7,0,0,0,1,0,0,0,0,0,0,1
BCL10,0,0,0,0,0,0,0,0,0,0,0
PIK3CB,0,0,0,0,0,0,0,0,0,0,0
ETNK1,0,0,0,0,0,0,0,0,0,0,0
EWSR1,1,0,0,0,0,0,0,0,0,0,1
ELL,0,0,0,0,0,0,0,0,0,0,0
LRP1B,1,1,1,1,0,0,0,0,0,0,4
STK10,0,0,1,0,0,0,1,0,0,0,2
TGFB1,0,0,0,0,0,0,0,0,0,0,0
POLB,0,0,0,0,0,0,0,0,0,0,0
STAT5B,1,0,0,0,0,0,0,0,0,0,1
CHST11,0,0,0,0,0,0,0,0,0,0,0
LCK,0,0,0,0,0,0,0,0,0,0,0
RRM1,0,0,0,0,0,0,0,0,0,0,0
HLF,0,0,0,0,0,0,0,0,0,0,0
TUBA1C,0,0,0,0,0,0,0,0,0,0,0
CAMK1D,0,0,0,0,0,0,0,0,0,0,0
IKZF1,0,0,0,0,0,0,0,0,0,0,0
EPHA2,0,0,0,0,0,0,0,0,0,0,0
CBFA2T3,0,0,0,0,0,0,0,0,0,0,0
ARNT,0,0,1,0,0,0,0,0,0,0,1
ECT2L,0,0,0,1,0,0,0,0,0,0,1
DHFR,0,0,0,0,0,0,0,0,0,0,0
TAL2,0,0,0,0,0,0,0,0,0,0,0
FSTL3,0,0,0,0,0,0,0,0,0,0,0
