Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,MAX,AVG,MED,MIN
AKT1,3221.0256,3389.8891,6227.161,7784.3468,3627.3723,2287.8159,4708.5673,4413.8621,3964.9226,3731.452,7784.3468,4335.64147,3848.1873,2287.8159
AKT2,2090.7692,3170.9636,1417.6728,2911.5991,2103.0049,2260.6564,3292.1534,2227.5276,1549.8121,5561.2198,5561.2198,2658.53789,2244.092,1417.6728
ALDH9A1,1884.6154,1391.9055,1218.5063,2579.3919,1184.3162,5692.1916,1765.2323,2283.3376,1443.4307,1677.2872,5692.1916,2112.02147,1721.25975,1184.3162
ALK,166.6667,46.0896,35.9013,3.9414,9.3329,1.8861,10.0898,4.8723,4.7492,11.3792,166.6667,29.49085,9.71135,1.8861
BIRC3,228.7179,123.8658,103.0025,1198.1982,1236.2452,336.4768,820.636,3563.4241,2461.0192,399.1807,3563.4241,1047.07664,609.90835,103.0025
BIRC5,320.0462,515.8807,517.4784,260.7995,316.1399,726.2957,137.3652,370.8176,741.7505,587.4647,741.7505,449.40384,443.34915,137.3652
BCL2L1,1795.3846,1849.3447,2584.4642,4422.2973,6481.5529,1790.2678,6605.4473,3275.0724,3716.0662,16778.7893,16778.7893,4929.86867,3495.5693,1790.2678
BLVRB,773.3333,646.9826,472.2727,1509.5721,1809.1394,2288.5704,1628.7799,2066.2987,880.1793,10291.7615,10291.7615,2236.68899,1569.176,472.2727
BMPR1A,1530.2564,1433.3861,599.6367,280.4054,637.5063,495.662,575.5983,197.9926,171.9199,313.6095,1530.2564,623.59732,535.63015,171.9199
BPHL,592.3077,326.0838,494.4973,189.7523,682.4954,1401.358,512.1768,599.2931,257.4049,546.6545,1401.358,560.20238,529.41565,189.7523
BRAF,162.5641,150.3673,145.7421,173.4234,143.3432,463.2214,125.4016,228.5552,432.491,219.8452,463.2214,224.49545,167.99375,125.4016
