Gene,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-E9-A5FL-01A-11R-A27Q-07,TCGA-BH-A0WA-01A-11R-A109-07,TCGA-AR-A5QQ-01A-11R-A28M-07,TCGA-A2-A4S1-01A-21R-A266-07,TCGA-AR-A2LR-01A-12R-A18M-07,TCGA-A7-A26G-01A-21R-A169-07,TCGA-BH-A0DL-11A-13R-A115-07,TCGA-BH-A0DL-01A-11R-A115-07,MAX,AVG,MED,MIN
ABCA1,778.3503,1102.7132,840.4667,1451.0681,592.1892,780.6561,1856.04,2585.5986,2276.6553,2585.5986,1362.6375,1102.7132,592.1892
ADD1,4292.8756,2507.1059,4415.5691,3066.5673,6377.9461,3606.4117,3356.7268,6347.511,5441.9395,6377.9461,4379.183667,4292.8756,2507.1059
ALCAM,1906.1218,427.6486,624.2961,1351.7139,2232.6215,1156.4988,5081.3616,2313.4846,4884.4966,5081.3616,2219.804833,1906.1218,427.6486
ALDH3A1,1.2153,28531.0078,4.7891,14.4064,8.5085,57.2909,0.2738,18.5885,29.3391,28531.0078,3185.0466,14.4064,0.2738
AMELX,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPH,3993.9967,5784.6899,6226.7802,6908.2861,5703.8714,5137.5151,14754.5558,10066.6793,5561.9426,14754.5558,7126.479678,5784.6899,3993.9967
BGLAP,48.604,116.447,85.3011,51.7139,15699.9404,10.6862,26.5636,27.9899,32.2761,15699.9404,1788.8358,48.604,10.6862
BRAF,111.1955,163.4367,242.1927,101.3413,91.8914,137.8865,186.1806,228.4184,258.4929,258.4929,169.004,163.4367,91.8914
DDR1,8516.4818,5645.3488,11142.573,10381.5201,923.1686,8612.0801,3814.5121,4929.7417,8396.8499,11142.573,6929.141789,8396.8499,923.1686
CAST,4082.9895,2283.863,4480.1777,14476.2991,5355.9687,4248.1277,4741.9681,5725.6711,9516.5318,14476.2991,6101.288522,4741.9681,2283.863
CCK,1.2153,116.9251,0.3421,1.4903,664.5112,131.0893,0.8214,0,1.2353,664.5112,101.9588889,1.2353,0
CDK7,616.7401,812.6615,241.5085,547.4416,367.5657,301.5053,352.9218,303.7177,383.8789,812.6615,436.4379,367.5657,241.5085
CDX2,0,322.3514,1.0262,0.4968,0,125.7486,0,0.6301,0.3088,322.3514,50.06243333,0.4968,0
