Gene,TCGA-CA-6717-01A-11R-1839-07,TCGA-CK-4951-01A-01R-1410-07,TCGA-WS-AB45-01A-11R-A41B-07,TCGA-A6-6781-01B-06R-A277-07,TCGA-A6-6781-01A-22R-A278-07,TCGA-A6-6781-01A-22R-1928-07,TCGA-D5-6928-01A-11R-1928-07,TCGA-AD-5900-01A-11R-1653-07,TCGA-A6-6780-01A-11R-A278-07,TCGA-A6-6780-01B-04R-A277-07,TCGA-A6-6780-01A-11R-1839-07,MAX,AVG,MED,MIN
APLNR,678.9734,830.7255,5912.8441,740.1813,401.1134,905.3085,1166.9506,290.9751,41.5522,209.1988,205.6352,5912.8441,1034.85982727273,678.9734,41.5522
ALDH1A3,1328.7573,422.7667,339.19,1530.6042,456.4507,326.528,502.8748,355.7832,251.851,684.3027,172.1948,1530.6042,579.2094,422.7667,172.1948
ALOX15B,58.9824,97.7952,168.5591,243.9577,1566.6396,2555.2367,103.4923,56.5353,60.783,66.7656,203.1636,2555.2367,471.082772727273,103.4923,56.5353
APLP1,29.7163,19.9147,164.1339,110.2719,182.8464,412.2429,14.0545,65.3527,0,4.451,4.9432,412.2429,91.6297727272728,29.7163,0
ARHGDIB,2842.4133,4216.2162,3742.4948,3448.6405,1266.0439,1844.572,4233.816,1456.4315,1478.022,3774.4807,3062.2837,4233.816,2851.40132727273,3062.2837,1266.0439
BRAF,157.5867,40.5405,220.0521,567.9758,419.7809,110.9517,137.9898,60.166,257.5549,409.4955,75.6303,567.9758,223.429472727273,157.5867,40.5405
BTN1A1,5.403,6.0455,0.4023,11.3293,0,0.9565,20.4429,16.5975,4.8077,8.9021,4.9432,20.4429,7.25727272727273,5.403,0
C4A,7323.0437,880.2063,3303.2274,450.6269,2099.8619,3204.395,3670.5068,6941.7635,1074.7047,355.5193,1776.5695,7323.0437,2825.49318181818,2099.8619,355.5193
DDR1,4710.4908,4054.7653,1105.8925,3179.003,8873.3166,10541.846,3417.3765,8441.9087,2663.8049,1903.5608,4841.3248,10541.846,4884.84453636364,4054.7653,1105.8925
CALB2,75.6416,165.3627,179.8232,538.5196,912.3175,1690.1004,46.8484,6.7427,5.1511,4.451,17.301,1690.1004,331.114472727273,75.6416,4.451
CCNT1,253.4894,85.7041,293.2687,430.5136,510.2468,123.8642,315.1618,154.0456,1445.0549,767.0623,146.3174,1445.0549,411.338981818182,293.2687,85.7041
ENTPD6,1660.9635,4060.4552,1101.0651,237.9154,1414.9058,2010.043,3258.092,3794.0871,1711.1951,543.0267,3307.9585,4060.4552,2099.9734,1711.1951,237.9154
CDH4,0.4502,0.7112,16.4939,5.287,58.8746,35.3898,1.2777,1.0373,1.3736,0,1.4829,58.8746,11.1252909090909,1.3736,0
CEACAM3,6.3035,17.7809,50.2861,73.2628,132.5876,208.5127,64.3101,1.556,6.1813,17.8042,12.3579,208.5127,53.7221,17.8042,1.556
CEACAM4,24.7636,3.2006,118.273,21.148,6.2225,10.043,20.017,5.1867,2.0604,2.9674,9.8863,118.273,20.3425909090909,9.8863,2.0604
COL15A1,2786.5826,1879.4452,39900.2323,8570.997,9633.4216,10476.3271,3613.7138,995.332,926.8544,1621.6617,1098.3688,39900.2323,7409.35786363636,2786.5826,926.8544
CR1,218.3701,13.8691,2072.1908,843.6556,534.6583,225.2511,265.7581,73.1328,444.3681,486.6469,137.4197,2072.1908,483.210963636364,265.7581,13.8691
CREM,315.6236,227.596,493.6086,1050.6042,388.1897,434.242,299.4037,227.1784,248.6264,388.724,176.9649,1050.6042,386.432863636364,315.6236,176.9649
