Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
ALPP,0,0,0.3522,7.1477,0.3771,0,0.3779,0,8.0605,0,0,0,8.0605,1.359616667,0,0
BIRC5,389.7816,479.6616,10.2747,566.7427,40.6033,45.9868,10.8201,7.7592,181.6322,21.1254,281.5456,30.5361,566.7427,172.205775,43.29505,7.7592
ASNS,754.8387,2463.7462,294.4699,801.2253,513.9517,506.7873,300.8314,525.3326,540.0504,859.5902,375.6158,294.5214,2463.7462,685.9134083,519.64215,294.4699
TNFRSF17,62.0347,8.1571,6.6925,4.4248,0.3771,0.4641,0,0.3774,7.0529,0.8674,0,9.2706,62.0347,8.309883333,2.6461,0
BRAF,91.8114,260.7251,158.1543,166.7801,161.0106,161.0396,99.3953,178.5074,435.7683,116.6649,68.9655,116.2397,435.7683,167.92185,159.58245,68.9655
C1S,11460.6055,1008.1571,3039.8027,6700.4765,4228.8839,6826.314,7325.7748,976.3185,1009.5164,490.9465,1473.5222,14823.7685,14823.7685,4947.007217,3634.3433,490.9465
DDR1,2221.34,8685.8006,8543.5012,5391.4227,7261.3122,4520.7101,9777.3998,15072.3653,7158.6902,5769.4893,11043.1034,7006.4716,15072.3653,7704.300533,7210.0012,2221.34
CCK,0,0.6042,1.0567,154.5269,0,0,0,0.3774,28.2116,0.8674,0,0,154.5269,15.47035,0.1887,0
CCNE1,61.5385,527.1903,26.0655,240.2995,41.4781,14.3868,10.9599,22.2663,162.7204,15.6131,60.3448,28.5251,527.1903,100.949025,35.0016,10.9599
CD28,119.1067,24.7734,27.8267,5.4459,24.5098,108.1332,30.9902,10.1896,18.6398,7.8066,4.3103,34.2301,119.1067,34.663525,24.6416,4.3103
CDC20,353.8462,1558.6103,42.9729,673.5875,97.2851,151.7577,20.4082,21.1341,961.7128,31.66,383.0049,109.1084,1558.6103,367.090675,130.43305,20.4082
CDC42,3956.8238,5180.0604,5345.8964,2533.6964,5609.3514,2897.3199,5053.288,4494.3863,5452.8967,4922.4764,3570.197,6996.4879,6996.4879,4667.74005,4987.8822,2533.6964
CENPF,659.5533,3486.1027,41.5639,1578.9653,230.0151,204.2,36.2812,65.6666,1997.9849,47.2731,279.5567,96.2721,3486.1027,726.9529083,217.10755,36.2812
CGA,1.4888,76.7372,10.9193,0,0,0,0,0,0.5038,0,0,0,76.7372,7.470758333,0,0
CHAT,523.0769,0.6042,0,9.1899,0,0,0,0,0,0,0,0,523.0769,44.40591667,0,0
CHML,1114.6402,245.0151,267.3477,853.6419,895.5505,192.1337,321.9955,382.6776,251.8892,235.4982,196.4286,317.3415,1114.6402,439.5133083,292.3446,192.1337
CMKLR1,761.7866,200,331.807,22.1239,54.6757,406.0796,144.3689,172.4691,77.0781,288.4094,141.6256,351.5716,761.7866,245.999625,186.23455,22.1239
CLDN7,440.6948,2278.852,2726.6643,241.661,2763.1976,217.1946,3331.4437,7364.8457,3536.0202,552.5317,4524.0148,7018.5948,7364.8457,2916.3096,2744.93095,217.1946
CYP26A1,0.9926,157.7039,1.7612,95.9837,1.1312,0,1.1338,0.3774,0.5038,0.4337,0.6158,0.7131,157.7039,21.77918333,0.85285,0
DIO1,17.3697,53.7764,546.6714,0,9.0498,6297.7144,647.0144,4.9061,1.0076,1.3011,24.0148,564.0834,6297.7144,680.5757583,20.69225,0
DNA2,235.2357,99.6979,27.1222,279.4418,116.8929,90.9618,21.542,110.9539,128.9673,38.1655,80.665,46.3532,279.4418,106.3332667,95.32985,21.542
DNAH9,21.34,51.0574,99.3308,10.8918,36.5762,6.0332,99.7732,64.5344,4.0302,8.2403,80.0493,21.3938,99.7732,41.93755,28.985,4.0302
E2F2,81.3896,342.9003,4.5791,106.8754,30.9201,13.9227,5.291,9.8122,206.0453,33.8285,111.4532,34.2301,342.9003,81.770625,34.0293,4.5791
EFNA5,4460.5459,1198.7915,499.8239,970.388,154.6003,32.4864,55.5556,23.7758,592.9471,82.4027,306.0345,194.6836,4460.5459,714.336275,250.35905,23.7758
EGFR,2678.0149,1212.0665,783.6527,580.6161,678.7217,1126.8082,550.2608,1432.1578,1605.0327,1526.1759,366.3732,258.1519,2678.0149,1066.5027,955.23045,258.1519
EWSR1,4109.6774,3538.0665,3395.5618,3315.5208,3511.6893,4585.2187,3832.5775,4672.5163,5092.6952,3566.7353,2513.5468,3415.1646,5092.6952,3795.747517,3552.4009,2513.5468
F5,555.8313,147.1299,484.3255,44.5882,5.6561,2009.978,106.198,11.6992,68.5139,2950.8837,8.6207,31.3776,2950.8837,535.400175,87.35595,5.6561
FGFR1,2357.8164,4658.006,2033.4625,3778.4207,1739.0649,439.9582,1834.845,2237.947,186.9018,1543.5325,5214.2857,1568.8791,5214.2857,2299.42665,1934.15375,186.9018
FGFR3,238.2134,3.0211,895.3857,86.113,508.6727,915.1874,430.4611,1152.1842,25068.0101,753.3341,1600.9852,508.4595,25068.0101,2680.002292,631.0034,3.0211
FGFR2,238.7097,640.4834,1275.8013,2141.5929,569.7587,1090.6138,669.3122,2032.6446,972.2922,815.3529,511.6995,298.087,2141.5929,938.0290167,742.33255,238.7097
FGFR4,715.1365,12.0846,1160.9722,1906.0585,1421.1916,5916.2316,3417.2336,1382.772,13.0982,1311.9375,6729.064,1890.4994,6729.064,2156.356642,1401.9818,12.0846
FLT1,7623.8213,784.8943,2205.0018,572.8387,226.9985,1706.4625,295.5404,160.0151,2129.9748,7320.3947,1418.7192,233.9056,7623.8213,2056.547242,1101.80675,160.0151
FLT3,28.7841,3.0211,26.77,6.467,100.6787,34.3427,523.0537,1.5096,4.0302,18.649,161.33,12.8363,523.0537,76.78936667,22.7095,1.5096
FLT4,1583.6228,193.0514,975.6957,159.6324,27.9035,780.1369,73.3182,76.9884,302.267,1219.1261,434.7291,74.1652,1583.6228,491.719725,247.6592,27.9035
GBP1,8022.3325,423.2628,552.6594,446.5623,365.0075,604.7105,115.2683,315.8789,991.9395,1090.3177,342.3645,634.6829,8022.3325,1158.7489,499.61085,115.2683
LPAR4,7.9404,0.6042,1.0567,3.0633,0,0,0,0,1.5113,0,0,1.4263,7.9404,1.300183333,0.3021,0
GRK4,42.1836,73.716,57.0623,31.9946,111.6139,24.1327,53.288,61.8926,51.3854,65.9222,35.0985,61.3289,111.6139,55.80155833,55.17515,24.1327
