Gene,TCGA-UB-A7MB-01A-11R-A33R-07,TCGA-4R-AA8I-01A-11R-A38B-07,TCGA-W5-AA39-01A-11R-A41I-07,TCGA-CC-A7IH-01A-11R-A33J-07,TCGA-WQ-A9G7-01A-11R-A37K-07,TCGA-DD-AAC8-01A-11R-A41C-07,TCGA-DD-A1EE-11A-11R-A131-07,TCGA-DD-A1EE-01A-11R-A131-07,TCGA-DD-AACI-01A-11R-A41C-07,TCGA-DD-A3A9-01A-11R-A266-07,MAX,AVG,MED,MIN
ACTN2,89.4195,46.7033,216.5308,2319.9397,91.1539,5947.6587,2.3344,76.5645,26.7738,170.6813,5947.6587,898.77599,90.2867,2.3344
ALDH3B2,0.4682,3.4341,2.3283,0,5080.5884,0,0,0.7934,0,10.3235,5080.5884,509.79359,0.6308,0
ALOX15,5.618,10.989,5.8207,0,0,0.5701,1.1672,0,5.3548,893.3242,893.3242,92.2844,3.261,0
ALPI,0,157.2802,30.2678,1.5068,0,0.5701,0,0.3967,38629.1834,50.2409,38629.1834,3886.94459,1.03845,0
ARHGDIG,0.4682,0,0,0,663.0619,0,0,0.3967,0,11.0117,663.0619,67.49385,0,0
ATP2B3,0,1.3736,0,0,1.6573,0,0,144.4015,0,0,144.4015,14.74324,0,0
BMP2,330.5243,325.5495,145.518,105.4746,64.6364,60.4344,158.7394,265.7939,4423.0254,75.7054,4423.0254,595.54013,152.1287,60.4344
BRAF,108.1461,101.6484,26.7753,67.8051,93.6399,50.172,133.061,358.6234,69.6118,30.2822,358.6234,103.97652,81.62585,26.7753
BRS3,0,0,0,0,0,0,0,0,8.0321,1.3765,8.0321,0.94086,0,0
CACNA1S,0.4682,4.8077,0,3.0136,0.8287,2.2805,0,1.1901,6.6934,0.6882,6.6934,1.99704,1.0094,0
DDR1,312.2659,800.1374,159.4878,90.4068,2682.4114,138.543,402.6846,261.8268,1409.6386,1261.5279,2682.4114,751.89302,357.47525,90.4068
CDH16,0,10.989,0,0,111.8707,24.5158,30.3472,385.5995,13.3869,49.5526,385.5995,62.62617,18.95135,0
