Gene,TCGA-AB-2828-03A-01T-0734-13,TCGA-AB-2808-03A-01T-0734-13,TCGA-AB-2826-03A-01T-0734-13,TCGA-AB-2833-03A-01T-0734-13,TCGA-AB-2806-03A-01T-0734-13,TCGA-AB-2854-03A-01T-0734-13,TCGA-AB-2807-03A-01T-0734-13,TCGA-AB-2805-03A-01T-0734-13,TCGA-AB-2950-03A-01T-0735-13,TCGA-AB-2810-03A-01T-0736-13,MAX,AVG,MED,MIN
ABCB7,741.5946,629.2223,654.033,593.4379,1300.4456,570.7155,663.3565,678.0455,1024.1433,979.5983,1300.4456,783.45925,670.701,570.7155
AGL,625.5524,1262.3723,882.4101,389.4437,1248.2495,559.0682,770.6058,759.0361,675.2336,331.7994,1262.3723,750.37711,717.13485,331.7994
ALDH1A1,8.4534,542.8123,6.8027,73.4665,3.1827,1771.2146,105.2632,113.7885,13.2399,6.5833,1771.2146,264.48071,43.3532,3.1827
ALOX12,20.7493,22.7887,21.38,17.3894,662.8835,92.6456,24.8262,42.838,380.109,32.9956,662.8835,131.86053,28.9109,17.3894
APBA1,3.074,242.7337,0,2.8531,89.1152,478.3694,41.708,10.0402,6.2305,119.8165,478.3694,99.39406,25.8741,0
AQP8,0,0.7855,0,0.7133,0,0,0.993,2.008,1.5576,26.3333,26.3333,3.23907,0.7494,0
AQP9,376.561,1110.762,1992.2255,4813.1241,61.1076,667.2213,6.9513,1153.9491,46.729,263.3329,4813.1241,1049.19638,521.89115,6.9513
ASIP,1.537,0,0.9718,1.4265,0,0,25.8193,0.6693,0.7788,2.6333,25.8193,3.3836,0.8753,0
CEACAM1,26.1287,1782.4038,252.6725,112.6961,38.1922,94.8419,203.575,91.7001,41.2773,183.0163,1782.4038,282.65039,103.769,26.1287
CXCR5,6.1479,10.2121,39.8445,42.796,24.895,59.9002,16.8818,19.411,23.3645,27.65,59.9002,27.1103,24.12975,6.1479
BRAF,366.5706,387.2742,328.4742,174.7504,548.0586,246.2562,523.3366,382.8648,584.891,202.7663,584.891,374.52429,374.7177,174.7504
BST1,1636.1191,925.3731,777.4538,2922.2539,390.8339,1206.3228,154.9156,400.2677,436.1371,252.7996,2922.2539,910.24766,606.79545,154.9156
KLF9,632.4688,75.4124,88.4354,864.4793,80.8402,216.3062,4861.9662,686.747,915.109,60.5666,4861.9662,848.23311,424.3875,60.5666
DDR1,62.2478,1.5711,19.4363,134.8074,18.4596,16.6389,246.2761,273.7617,49.8442,11.85,273.7617,83.48931,34.64025,1.5711
CBLN1,0,0.7855,0,0,0,0,7.9444,0,0.7788,0,7.9444,0.95087,0,0
CBR3,13.0644,14.9254,8.7464,65.6205,5.0923,9.1514,8.9374,21.419,6.2305,21.0666,65.6205,17.42539,11.1079,5.0923
CD47,3130.0672,4853.8885,4803.6929,2651.2126,3387.0146,2647.2546,6653.426,4564.257,2147.1963,3453.6106,6653.426,3829.16203,3420.3126,2147.1963
CDKN2D,225.9366,399.0573,539.3586,990.7275,49.0134,520.7987,706.0576,386.2115,35.8255,888.7484,990.7275,474.17351,459.928,35.8255
CEACAM5,0,3.1422,0,0,0,0,0,0,0,1.3167,3.1422,0.44589,0,0
CEACAM8,1.537,4689.7093,1069.9708,66.3338,9.5481,18.3028,5.9583,16.0643,7.0093,433.1826,4689.7093,631.76163,17.18355,1.537
CHI3L2,13.0644,15.7109,0,24.2511,5.0923,245.4243,225.422,5.3548,4.6729,5.2667,245.4243,54.42594,9.2096,0
TBCB,286.6551,272.7573,552.964,640.0499,332.5398,382.6622,400.4071,348.5877,463.7305,924.9435,924.9435,460.52971,391.53465,272.7573
CREM,91.4505,109.1909,103.9845,152.6391,105.6652,387.6872,143.9921,97.0549,184.5794,135.6164,387.6872,151.18602,122.40365,91.4505
CYP2D6,10.7589,14.1398,8.7464,27.1041,14.0038,15.807,14.8957,6.0241,15.5763,40.8166,40.8166,16.78727,14.51775,6.0241
DFFA,494.1402,505.8916,417.8814,518.5449,607.2565,407.6539,660.3774,405.6225,741.433,830.8152,830.8152,558.96166,512.21825,405.6225
ECM2,280.4995,395.9152,297.3761,124.8217,128.5805,303.6606,338.6296,99.7323,154.9844,301.5161,395.9152,242.5716,288.9378,99.7323
EGFR,0,4.7133,0,0,0.6365,9.9834,26.8123,0.6693,3.1153,0,26.8123,4.59301,0.6529,0
