Gene,TCGA-18-3409-01A-01R-0980-07,TCGA-90-A4ED-01A-31R-A24Z-07,TCGA-21-1079-01A-01R-0692-07,TCGA-55-8506-01A-11R-2403-07,TCGA-05-4382-01A-01R-1206-07,TCGA-L9-A7SV-01A-11R-A39D-07,TCGA-MN-A4N4-01A-12R-A24X-07,TCGA-86-A4JF-01A-11R-A24X-07,TCGA-55-7994-01A-11R-2187-07,TCGA-49-AARE-01A-11R-A41B-07,MAX,AVG,MED,MIN
ADCY6,511.2821,1022.0366,197.8844,1197.0721,1607.6453,2237.269,564.0671,821.6472,1509.6024,1561.675,2237.269,1123.01812,1109.55435,197.8844
APOA1,1.0256,5.7612,2.137,3.9414,2.8716,1.1316,2.8828,0.8859,0.6332,3.1862,5.7612,2.44565,2.5043,0.6332
APOH,1.0256,0,0,4.5045,416.8678,494.9076,0.4805,26.1333,11442.3304,0,11442.3304,1238.62497,2.76505,0
AQP6,0,0.5761,5.1288,1.6892,3.5896,1.8861,24.5038,0,26.5953,5.9172,26.5953,6.98861,2.73785,0
RND3,1377.4359,1156.8486,3975.6384,223.536,855.9909,280.6488,1771.9588,133.7668,532.5401,1097.4056,3975.6384,1140.57699,976.69825,133.7668
ARL3,1102.5641,952.9022,507.7466,663.2883,681.0596,557.1482,629.891,279.05,190.9166,431.0423,1102.5641,599.56089,593.5196,190.9166
BRAF,162.5641,150.3673,145.7421,173.4234,143.3432,463.2214,125.4016,228.5552,432.491,219.8452,463.2214,224.49545,167.99375,125.4016
DDR1,8748.7179,19281.5786,9583.9299,6494.3694,6635.6648,7766.5032,7915.6782,5747.101,6977.162,3805.6441,19281.5786,8295.63491,7371.8326,3805.6441
CAMK2D,1038.4615,481.6362,1280.0513,1129.5045,1045.9984,3196.5296,787.0034,1418.2826,2255.2219,692.3077,3196.5296,1332.49971,1087.75145,481.6362
CD247,77.4359,65.6777,27.3533,79.955,123.0023,50.547,45.1638,154.1419,190.6,174.3286,190.6,98.82055,78.69545,27.3533
CDK1,612.8205,825.0036,933.8605,902.5901,438.8838,1539.0419,391.5798,915.5497,688.3128,769.2308,1539.0419,801.68735,797.1172,391.5798
CDSN,94.359,46.6657,1191.1529,64.7523,53.1255,7.5443,779.7964,11.5163,30.7113,3.1862,1191.1529,228.28099,49.8956,3.1862
CEACAM7,0.5128,0,0.4274,3.3784,15.3155,2.6405,23.5428,255.5744,20.8963,37573.9645,37573.9645,3789.62526,9.34695,0
COL4A4,125.1282,81.2329,3.4192,445.3829,1206.3322,3954.3568,71.109,260.0037,418.8767,81.0196,3954.3568,664.68612,192.56595,3.4192
COL13A1,134.8718,157.8568,76.5039,20.8333,128.9849,9.8076,132.1282,95.2313,5.0658,53.2544,157.8568,81.4538,85.8676,5.0658
CTAG1A,763.0769,2954.3425,0,0.5631,1010.5814,1.5089,515.0596,0,0,2.2758,2954.3425,524.74082,1.89235,0
DEFB1,115.8974,161.3136,4.7014,3.3784,118.6949,0.7544,4.8047,8.4158,0.9498,1374.6017,1374.6017,179.35121,6.61025,0.7544
DGUOK,1167.1795,1167.7949,1545.8917,775.3378,885.1861,1046.3976,837.4523,773.3671,628.1567,1931.7251,1931.7251,1075.84888,965.79185,628.1567
EGFR,1451.2769,2171.3323,3922.184,1994.8986,626.4959,2421.6635,733.1624,1877.1294,2876.3847,50.9786,3922.184,1812.55063,1936.014,50.9786
ETF1,3112.8205,2362.6674,2381.0236,1211.7117,1553.0839,1342.135,1989.1295,2700.5838,2433.1574,2202.0938,3112.8205,2128.84066,2282.3806,1211.7117
FGF5,1125.641,18.4358,157.7092,0,5.0254,0.7544,5.7656,0,0,1.8207,1125.641,131.51521,3.42305,0
FGFR1,2131.7949,2341.351,1140.7202,401.464,2220.7425,218.7854,1800.3063,788.427,327.6926,1465.635,2341.351,1283.69189,1303.1776,218.7854
FGFR3,3908.7179,18689.9035,733.8391,329.3919,1281.713,116.5598,233.026,90.802,1033.4191,91.9436,18689.9035,2650.93159,531.6155,90.802
FGFR2,3121.5385,7797.7819,441.0728,1972.4099,743.7573,2620.5206,344.9746,360.9932,7.5987,88.3022,7797.7819,1749.89497,592.41505,7.5987
FGFR4,71.2821,106.006,4.7014,68.6937,159.6159,144.0966,85.0425,118.707,155.4561,93.7642,159.6159,100.73655,99.8851,4.7014
FOXD4,16.4103,34.5672,11.1123,7.3198,5.0254,63.3723,15.3749,15.0598,11.398,15.4756,63.3723,19.51156,15.21735,5.0254
FLT1,1453.8462,545.5855,1423.229,1100.7883,2443.0561,958.5062,1716.7052,1402.3369,957.1158,458.8075,2443.0561,1245.99767,1251.5626,458.8075
FLT3,6.6667,17.8597,1.2822,3.9414,15.3155,3.3949,2.4023,8.8587,13.9309,14.5653,17.8597,8.82176,7.7627,1.2822
FLT4,314.8718,312.2569,239.3418,627.8153,540.5881,266.6918,607.7896,758.7502,156.0893,317.706,758.7502,414.19008,316.2889,156.0893
GBP3,49.2308,289.7883,722.7268,613.1757,1400.4079,119.9547,522.7471,560.3147,4449.9711,334.5471,4449.9711,906.28642,541.5309,49.2308
UTS2R,0,1.7284,0,1.1261,0.4786,1.1316,103.7807,0,0.3166,1.3655,103.7807,10.99275,0.80235,0
GRIA3,20.5128,1.7284,423.5495,1.1261,1.4358,0.7544,2.8828,1.7717,0,4.0965,423.5495,45.7858,1.75005,0
GTF2B,616.9231,532.3347,724.4364,422.2973,583.1842,745.7563,501.1261,528.4232,493.9135,555.7579,745.7563,570.41527,544.0463,422.2973
GTF2E1,484.1026,237.3614,357.7305,377.2523,483.873,346.2844,357.4667,414.5886,366.6358,372.3259,484.1026,379.76212,369.48085,237.3614
HLA-G,80.9179,21.5008,112.3582,41.6667,49.5312,21.4334,21215.9395,282.3543,99.226,199.5539,21215.9395,2212.44819,90.07195,21.4334
JAK1,4270.7692,3680.2535,5413.3989,3966.2162,3717.8293,2635.6092,3763.9711,3511.1576,4678.5644,1779.2444,5413.3989,3741.70138,3740.9002,1779.2444
JAK2,409.7436,629.1229,280.3718,139.6396,459.9426,136.5522,238.7916,284.3652,646.5202,219.8452,646.5202,344.48949,282.3685,136.5522
KCNC1,1.5385,40.9045,0.8548,0.5631,0,0,0,0.4429,0.3166,1.3655,40.9045,4.59859,0.503,0
KDR,691.7949,116.9523,630.4092,337.8378,1719.8789,977.7442,1097.8649,1082.9797,310.279,815.2025,1719.8789,778.09434,753.4987,116.9523
KIT,992.8205,581.3049,227.3747,321.509,319.471,1336.854,224.8581,863.7262,84.8518,52.3441,1336.854,500.51143,320.49,52.3441
KRT17,75568.2051,152614.7199,117947.644,88.964,7576.6087,37.3444,5441.278,156.3566,63.9555,618.5708,152614.7199,36011.3647,3029.9244,37.3444
KRT85,828.2051,3907.8208,0,0,0,0,8.6484,0.4429,0,0,3907.8208,474.51172,0,0
LIMK1,1231.2821,1462.7683,1805.7485,2616.5541,3352.8905,1539.0419,2002.102,1988.3419,3894.3183,2305.4165,3894.3183,2219.84641,1995.22195,1231.2821
LTF,612.3077,16.7075,31.1999,761.8243,77.5345,1341.3806,41.8005,2039.7225,23.1126,987.7105,2039.7225,593.33006,344.9211,16.7075
EPCAM,1834.359,4906.8126,269.2595,4484.2342,9151.7087,12220.2942,5489.8051,12128.93,7355.5125,12202.5489,12220.2942,7004.34647,6422.6588,269.2595
SMAD2,3442.5641,1591.8191,1251.8431,1570.3829,2140.097,2314.221,1002.7327,1674.7429,1461.7941,684.5699,3442.5641,1713.47668,1581.101,684.5699
MEOX1,29.7436,2785.5394,17.5232,1.6892,15.3155,12.4481,2.4023,6.2011,11.0814,26.3996,2785.5394,290.83434,13.8818,1.6892
MET,2300.5128,1492.7265,2323.3251,6192.5676,958.1738,3475.2923,2162.0972,294.1098,60140.6229,1086.9367,60140.6229,8042.63647,2231.305,294.1098
MOS,0,2.8806,0,0,0.2393,0,0,0,1.8997,0,2.8806,0.50196,0,0
MSX2,107.6923,85.8419,371.8346,3.3784,151.7188,30.1773,32.1912,40.3072,44.3256,142.9222,371.8346,101.03895,65.08375,3.3784
