Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
ABAT,169.4511,1624.2366,178.3518,68.6034,184.5351,859.1603,185.4985,237.5675,215.9246,1172.2161,1624.2366,489.5545,200.71155,68.6034
ADCY6,1454.0573,1802.8979,3379.4588,1109.2055,568.7856,2238.4482,1422.9607,1098.6076,1022.8263,798.2359,3379.4588,1489.54838,1266.0831,568.7856
ADCY8,0,0,0,0,0,0,0,0,0.4896,0,0.4896,0.04896,0,0
PARP1,1560.8592,3646.0304,2600.861,4101.1551,2832.5427,1626.289,2072.5076,3286.7292,3446.4693,3592.5028,4101.1551,2876.59463,3059.63595,1560.8592
PARP4,2656.3246,1569.6324,3749.0775,2695.8348,1227.704,3372.5161,1464.6526,2050.0142,1475.2397,1616.7585,3749.0775,2187.77544,1833.38635,1227.704
ADRA2C,80.5489,85.2593,14.7601,8.0504,2.3719,17.2188,344.4109,34.1006,24.9709,246.086,344.4109,85.77778,29.53575,2.3719
AP1G1,1510.7399,1999.7605,1561.5006,1612.8806,1289.8482,2253.8857,1062.8399,2609.8323,1812.1016,5890.1874,5890.1874,2160.35767,1712.4911,1062.8399
ALAS2,4.1766,0,1.845,0.35,0,0,0,0,0.9792,1.323,4.1766,0.86738,0.175,0
ARHGDIB,6104.4153,4968.5068,3988.3149,2573.3287,2670.3036,7961.6317,2541.3897,6942.3132,8023.4824,4466.5932,8023.4824,5024.02795,4717.55,2541.3897
ARRB2,316.2291,665.7885,545.5105,709.4855,1006.167,374.0643,484.5921,784.8821,931.2665,803.9691,1006.167,662.19547,687.637,316.2291
ASPA,2.3866,0,43.6654,4.9002,0.9488,12.4688,0,0,1.9585,0,43.6654,6.63283,1.45365,0
ATP1A1,33885.8711,12986.6938,7931.7343,5940.4935,18191.148,8124.9018,6432.006,10742.7962,6911.5395,11758.2756,33885.8711,12290.54598,9433.849,5940.4935
ATP1A2,19.6897,0,30.1353,0.7,0,0.5938,30.8157,9.6618,8.3236,11.0254,30.8157,11.09453,8.9927,0
AVPR1B,0,0,0,0,0.4744,0.5938,0,0,0.9792,0.441,0.9792,0.24884,0,0
BCL2,140.2148,91.965,126.6913,68.9534,118.5958,84.3129,114.1994,95.4817,145.9082,90.4079,145.9082,107.67304,104.84055,68.9534
CEACAM1,844.8687,2489.7617,3143.9114,108.5054,711.575,564.6589,1701.5106,1323.1032,2154.3493,482.9107,3143.9114,1352.51549,1083.98595,108.5054
BPHL,542.9594,433.002,645.1415,206.1603,180.2657,767.7224,267.6737,468.8832,254.6049,456.4498,767.7224,422.28629,444.7259,180.2657
CA11,10.7399,545.5634,110.0861,60.203,105.7875,65.3128,154.0785,198.3518,16.6472,174.6417,545.5634,144.14119,107.9368,10.7399
CBLB,269.0931,278.29,332.7183,1376.9688,431.6888,399.5957,254.9849,251.2077,383.8659,203.3076,1376.9688,418.17208,305.50415,203.3076
CCND2,251.1933,209.3162,220.1722,546.7273,7083.9658,334.8766,717.2205,820.6877,417.65,534.0684,7083.9658,1113.5878,475.8592,209.3162
SIGLEC6,0,0.958,3.69,2.4501,0.4744,0.5938,32.6284,3.9784,0.9792,948.6218,948.6218,99.43741,1.71465,0
CD48,23.2697,107.2925,11.0701,188.6594,452.5617,147.2507,17.5227,233.0207,44.0662,24.2558,452.5617,124.89695,75.67935,11.0701
CD69,34.0095,42.6296,886.8389,222.2611,322.5806,48.6877,3.6254,113.1003,14.6887,32.194,886.8389,172.06158,45.65865,3.6254
CDH13,574.5823,50.2934,415.1292,79.104,2613.3776,20.7813,73.716,216.5388,267.8248,147.2988,2613.3776,445.86462,181.9188,20.7813
CDKN1A,3903.3413,6578.8528,10667.2817,1580.679,12325.9013,3700.8614,2150.4532,4657.5732,755.0015,3959.8677,12325.9013,5027.98131,3931.6045,755.0015
COL4A1,12566.2291,3091.3663,11382.5338,5565.6283,5184.5351,1827.5712,5085.8006,6005.6834,18110.7336,6924.366,18110.7336,7574.44474,5785.65585,1827.5712
COL8A2,41.1695,158.5439,65.1907,269.8635,156.0721,22.5626,1000.6042,1168.5138,239.9162,1525.0276,1525.0276,464.74641,199.23005,22.5626
COL9A2,30.4296,14.8485,615.6212,25.5513,45.0664,328.3453,902.719,721.2276,119.4685,601.9846,902.719,340.5262,223.9069,14.8485
COL12A1,5207.6372,7469.2851,576.8758,3046.2023,11333.0171,1696.3518,6183.6858,10023.8704,3749.0575,8263.2856,11333.0171,5754.92686,5695.6615,576.8758
CPT2,673.031,939.7677,1514.7601,591.1796,408.9184,941.0982,560.1208,611.5374,599.7904,579.0518,1514.7601,741.92554,605.6639,408.9184
HAPLN1,519.0931,33.0499,309.9631,2.8001,10.4364,21.3751,6.6465,47.1725,39.6596,34.8401,519.0931,102.50364,33.945,2.8001
CRYBA1,0,0,0,0,0,0.5938,2.4169,0,0.9792,0,2.4169,0.39899,0,0
CRYBB2,0.5967,0.958,6.1501,1.4001,0.4744,2.375,1.2085,2.8417,13.7095,8.3793,13.7095,3.80933,1.88755,0.4744
CTRB1,1.1933,0,0,0,0,0,0,0,0,0,1.1933,0.11933,0,0
CYLC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP2E1,7.1599,14.8485,600.3936,84.3647,6.167,7.125,236.4169,14.7769,9.7925,3.9691,600.3936,98.50141,12.2847,3.9691
DHODH,90.6921,259.6096,186.9619,91.7046,289.8482,135.3756,106.3444,135.834,109.676,642.1169,642.1169,204.81633,135.6048,90.6921
DNAH9,0,0.479,0,0.7,0,0,1.8127,1.1367,161.5762,2.2051,161.5762,16.79097,0.5895,0
DYRK1A,1460.0239,964.6749,1481.5498,2010.5005,1138.9943,987.411,1961.9335,1631.7136,1098.2285,2192.2822,2192.2822,1492.73122,1470.78685,964.6749
TYMP,2986.2768,4308.4661,297.048,850.8925,23535.1044,2056.7598,1453.7764,12954.8167,640.9189,1255.5678,23535.1044,5033.96274,1755.2681,297.048
EDN3,0,0,0,6.3003,0,0,0,0,0,0,6.3003,0.63003,0,0
EIF2S1,1076.969,1479.1043,1000.615,2228.2114,2754.7438,1676.1642,928.7009,1196.9309,1771.4627,1041.6759,2754.7438,1515.45781,1338.0176,928.7009
EIF4G2,17757.7566,18043.8271,15635.9164,25171.1586,17412.2391,22645.1392,12998.7915,13319.6931,14646.1481,17691.731,25171.1586,17532.24007,17551.98505,12998.7915
EMP1,6862.1718,2670.8179,4132.2263,741.6871,2879.0323,704.1909,902.719,2828.6445,958.1958,1911.3561,6862.1718,2459.10417,2291.087,704.1909
ERBB3,8336.5155,2357.083,7222.6322,7091.7046,1768.0266,7103.0651,3416.3142,4409.2072,2046.6319,4881.1466,8336.5155,4863.23269,4645.1769,1768.0266
ERF,989.2601,1740.6299,2071.3407,777.3889,1154.1746,425.7208,864.6526,2288.7184,1010.0961,949.9449,2288.7184,1227.1927,999.6781,425.7208
ESRRG,1.79,0.958,40.5904,455.7228,0.4744,197.1259,10.8761,0,6.8547,0.882,455.7228,71.52743,4.32235,0
FBLN2,136.6348,846.3657,2410.2091,785.0893,291.7457,14.8438,1389.1239,3121.3413,1598.6251,5134.2889,5134.2889,1572.82676,1117.7448,14.8438
FCN2,0,0,0,0,0,0.5938,1.8127,0,1.9585,0.441,1.9585,0.4806,0,0
FDX1,3075.179,903.8439,1067.0357,532.7266,789.3738,265.4075,322.0544,364.8764,840.1962,411.0254,3075.179,857.17189,661.0502,265.4075
FGF2,80.5012,14.7958,69.0898,93.3602,21.1622,23.1801,118.4592,29.2867,28.3346,41.6229,118.4592,51.97927,35.4548,14.7958
FGFR3,207.6372,1223.8055,107.6261,17.8509,1564.9905,7170.7529,816.9184,4106.8485,178.7131,5338.4785,7170.7529,2073.36216,1020.36195,17.8509
FNTA,1820.4057,2051.0119,1083.0258,1863.1432,1902.7514,1628.664,1245.9215,1132.1398,2143.088,740.0221,2143.088,1561.01734,1724.53485,740.0221
FPR1,12.5298,83.3433,9.8401,125.6563,161.2903,24.3439,40.4834,221.0855,100.8627,115.1047,221.0855,89.454,92.103,9.8401
FSHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFRA2,9.5465,13.8906,4.305,1.4001,1.8975,7.7188,12.6888,4.5467,57.7757,7.0562,57.7757,12.08259,7.3875,1.4001
GPT,89.4988,84.3013,31.3653,8.4004,4.2694,4.75,15.1057,10.2302,12.7302,17.1996,89.4988,27.78509,13.91795,4.2694
GSTP1,16390.2148,11593.3421,7890.5289,16066.8533,36963.4393,8516.7906,10073.716,7133.8448,10369.7647,11906.946,36963.4393,13690.54405,10981.5534,7133.8448
GTF2A1,20.2864,40.3928,22.1402,113.4057,42.2201,78.3754,12.6888,29.5539,100.8627,125.2481,125.2481,58.51741,41.30645,12.6888
GUK1,4970.1671,3352.4129,2824.7232,2040.252,6648.482,2811.4196,2888.2175,4778.0619,1866.4499,4652.7012,6648.482,3683.28873,3120.3152,1866.4499
