Gene,TCGA-B8-4143-01A-01R-1188-07,TCGA-KN-8428-01A-11R-2315-07,TCGA-KN-8428-11A-01R-2315-07,TCGA-B0-5098-01A-01R-1420-07,TCGA-UZ-A9PS-01A-11R-A42S-07,TCGA-UZ-A9PS-05A-11R-A42S-07,TCGA-P4-A5EB-01A-11R-A28H-07,TCGA-SX-A71S-01A-11R-A33Z-07,TCGA-HE-7130-01A-11R-1965-07,TCGA-A3-A8OV-01A-11R-A37O-07,TCGA-B9-A44B-01A-11R-A24Z-07,TCGA-IA-A83S-01A-11R-A355-07,MAX,AVG,MED,MIN
AKT1,2380.1489,5172.8097,2933.4273,2150.7828,2592.3831,2556.213,2244.898,3275.4033,3700.2519,3017.2395,2993.8424,3435.1322,5172.8097,3037.711008,2963.63485,2150.7828
AKT2,3242.1836,6457.4018,2600.5636,2206.6031,2163.273,2992.4585,2807.6342,3362.5814,3492.6952,2018.8659,4256.1576,2776.9161,6457.4018,3198.111167,2900.04635,2018.8659
ALDH3A1,9.9256,89.1239,27.8267,85.4323,17.3454,85.3927,255.102,29.0593,344.0806,61.1515,165.6404,124.0841,344.0806,107.8470417,85.4125,9.9256
ATF1,369.2308,388.8218,456.851,715.4527,311.8401,259.8909,290.2494,347.2026,496.2217,338.7184,157.0197,320.9071,715.4527,371.03385,342.9605,157.0197
BCL2L2,703.9305,1450.3082,1639.7112,792.3009,708.322,1032.9876,962.551,905.5005,1356.4081,1449.0513,912.58,1011.6988,1639.7112,1077.112508,987.1249,703.9305
BLK,22.3325,12.0846,14.4417,2.0422,1.5083,4.1768,0,0.7548,19.1436,0.4337,0,1.4263,22.3325,6.528708333,1.77525,0
BRAF,91.8114,260.7251,158.1543,166.7801,161.0106,161.0396,99.3953,178.5074,435.7683,116.6649,68.9655,116.2397,435.7683,167.92185,159.58245,68.9655
BTC,2.9777,102.4169,65.516,10.211,23.3786,10.6741,20.4082,75.8562,27.7078,22.1186,7.3892,13.5494,102.4169,31.85030833,21.2634,2.9777
KLF9,2898.7593,911.1782,1800.2818,336.2832,1718.7029,2770.159,1039.3046,1883.5739,772.2922,2425.6749,1254.3103,1260.8083,2898.7593,1589.277383,1489.7556,336.2832
CCIN,0.9926,1.2085,0.7045,6.1266,4.1478,0.9282,1.8896,1.1322,0,2.6022,1.8473,4.2788,6.1266,2.154858333,1.5279,0
CCK,0,0.6042,1.0567,154.5269,0,0,0,0.3774,28.2116,0.8674,0,0,154.5269,15.47035,0.1887,0
CDH10,0,0.3021,4.5791,0,0,0,0.3779,0.3774,0.5038,0,0,0,4.5791,0.511691667,0,0
ERCC8,93.7965,180.6647,170.1303,279.1014,170.8145,104.8846,141.7234,134.3523,61.9647,156.9988,103.4483,119.8053,279.1014,143.1404,138.03785,61.9647
LTB4R,736.5409,449.5076,64.4945,381.5521,99.1704,211.4398,20.1172,83.94,105.2897,293.9738,434.3103,83.9136,736.5409,247.020825,158.36475,20.1172
CRYGS,64.0199,9.0634,9.8626,27.9101,15.8371,16.7073,5.6689,17.7262,10.5793,24.7208,128.0788,9.2778,128.0788,28.28768333,16.2722,5.6689
