Gene,TCGA-DK-A6AW-01A-11R-A30C-07,TCGA-YC-A89H-01A-11R-A36F-07,TCGA-MV-A51V-01A-11R-A26T-07,TCGA-DK-A1AC-01A-11R-A13Y-07,TCGA-DK-A3WW-01A-22R-A23N-07,TCGA-DK-A6B6-01A-11R-A30C-07,TCGA-ZF-A9RC-01A-11R-A38B-07,TCGA-SY-A9G5-01A-11R-A38B-07,TCGA-XF-AAMG-01A-11R-A42T-07,TCGA-FD-A6TC-01A-21R-A33J-07,MAX,AVG,MED,MIN
CRISP1,0.5967,0.479,0.615,61.9531,0,0,1.8127,0,0,0,61.9531,6.54565,0.2395,0
AGXT,16.7064,0.958,0,0,0,0,7.855,0,269.2937,0,269.2937,29.48131,0,0
APOA2,65.0358,1.9159,0,1033.2517,0.9488,0,50.1511,0,0,0,1033.2517,115.13033,0.4744,0
ARSD,1145.5847,104.4186,3005.5351,484.0742,315.9393,3564.2982,6505.7402,1329.9233,2127.42,2164.9394,6505.7402,2074.7873,1728.67165,104.4186
BAAT,7.7566,0.479,22.1402,4.5502,0,0.5938,7.2508,0,188.9952,0,188.9952,23.17658,2.572,0
BNIP2,1444.5107,911.0286,438.4994,1106.0553,1235.7685,846.6915,731.1178,1060.5286,656.0973,777.0673,1444.5107,920.7365,878.86005,438.4994
BOK,726.7303,1783.2595,1185.7319,570.1785,1258.0645,1053.9113,1291.8429,747.3714,572.8611,725.0276,1783.2595,991.4979,900.64135,570.1785
BRAF,163.4845,203.0895,208.4871,278.6139,117.6471,287.9701,132.9305,96.05,283.0032,150.8269,287.9701,192.21028,183.287,96.05
DDR1,6903.9379,6172.1949,5512.3001,3213.5107,6244.3074,10955.3335,3804.2296,6304.632,5321.2429,15582.8004,15582.8004,7001.44894,6208.25115,3213.5107
CKMT2,0.5967,0.479,1.845,1.4001,0,0,12.6888,3.4101,7.834,5.7332,12.6888,3.39869,1.62255,0
CNN1,904.5346,169.0815,386.8389,274.0637,69.26,5.9375,4809.6677,1895.4248,534.1807,1890.6284,4809.6677,1093.96178,460.5098,5.9375
COL4A6,161.0979,1693.6894,43.6654,3.1502,187.3814,257.095,2265.2568,44.8991,965.5402,829.548,2265.2568,645.13234,222.2382,3.1502
COX6C,5083.5322,8421.0274,2919.4342,2995.0998,3046.4896,2238.4482,15213.2931,3379.3691,5197.8574,1611.9074,15213.2931,5010.64584,3212.92935,1611.9074
CPB1,0,0,0,11267.7634,0,0,0,0,0,0.441,11267.7634,1126.82044,0,0
CPN1,0,0,70.7257,0,0,0,0.6042,0.5683,10.7717,0,70.7257,8.26699,0,0
CYP3A7,9.5465,0.479,3.075,0.35,0,24.3439,1.8127,116.5104,0,135.8324,135.8324,29.19499,2.44385,0
CYP2A13,0,0,1.23,0,0,0,0,0,51.9002,0.441,51.9002,5.35712,0,0
CYP2B6,1.1933,94.36,12.9151,114.8057,0,0,1.2085,0,3658.9665,0,3658.9665,388.34491,1.2009,0
DAB2,349.642,295.0545,3145.1415,1591.1796,451.1385,1744.4458,767.9758,905.3708,954.7685,1032.8556,3145.1415,1123.75726,930.06965,295.0545
DEFA5,0,0,0,20.301,0,0,0,0,0,0,20.301,2.0301,0,0
DNASE2,1677.8043,1477.1884,1631.6113,1222.2611,1570.6831,1974.8219,1386.7069,1645.3538,926.8598,1259.5369,1974.8219,1477.28275,1523.93575,926.8598
E2F3,328.7589,483.7744,507.3801,1751.4876,453.9848,526.065,1356.4955,435.9193,9780.746,453.3627,9780.746,1607.79743,495.57725,328.7589
EGFR,186.7542,809.9533,228.1673,36.4018,1860.9583,81.3441,105.136,245.5129,458.6659,523.9162,1860.9583,453.681,236.8401,36.4018
EXT2,1873.5084,1792.8392,2006.7651,1312.2156,2199.7154,869.8479,1120.2417,1291.2759,1434.6008,1993.3848,2199.7154,1589.43948,1613.72,869.8479
F9,4.1766,0,0,0,0,0,3.0211,0,0,0,4.1766,0.71977,0,0
FABP7,0,0,1.23,105184.1092,0,0,1.2085,0,0,0,105184.1092,10518.65477,0,0
FGFR1,295.3461,253.8618,421.2792,633.1817,83.0171,87.2817,1172.8097,1181.0173,2364.888,1322.161,2364.888,781.48436,527.23045,83.0171
FGFR3,207.6372,1223.8055,107.6261,17.8509,1564.9905,7170.7529,816.9184,4106.8485,178.7131,5338.4785,7170.7529,2073.36216,1020.36195,17.8509
FGFR2,3.58,839.6599,113.1611,56.7028,296.0152,774.2537,2697.8852,584.8252,214.9453,1234.3991,2697.8852,681.54275,440.4202,3.58
FGFR4,94.2721,59.3941,54.1205,164.8582,114.8008,88.4692,135.9517,21.597,727.0929,11.0254,727.0929,147.15819,91.37065,11.0254
FOXD2,767.8998,225.6017,170.3567,3.1502,77.3245,80.7504,83.9879,23.8704,42.1077,10.5843,767.8998,148.56336,79.03745,3.1502
